25-Jan-2007 13:55:33, GAIA, [main], INFO, Looking for the run log in /models/tlumip/scenario_ChrisTest3/t1/
25-Jan-2007 13:55:33, GAIA, [main], INFO, Reading in Run Log from year 1 and updating the RunLog HashMap: 
25-Jan-2007 13:55:33, GAIA, [main], INFO, Full Path to Template File: /models/tlumip/scenario_ChrisTest3/t0/ao/aoTemplate.properties
25-Jan-2007 13:55:33, GAIA, [main], INFO, Creating /models/tlumip/scenario_ChrisTest3/t1/ao/ao.properties
25-Jan-2007 13:55:33, GAIA, [main], INFO, Full Path to Template File: /models/tlumip/scenario_ChrisTest3/t0/globalTemplate.properties
25-Jan-2007 13:55:33, GAIA, [main], INFO, Creating /models/tlumip/scenario_ChrisTest3/t1/global.properties
25-Jan-2007 13:55:33, GAIA, [main], INFO, Full Path to Template File: /models/tlumip/scenario_ChrisTest3/t0/ed/edTemplate.properties
25-Jan-2007 13:55:33, GAIA, [main], INFO, Creating /models/tlumip/scenario_ChrisTest3/t1/ed/ed.properties
25-Jan-2007 13:55:33, GAIA, [main], INFO, AO will now start ED for simulation year 1991
25-Jan-2007 13:55:35, GAIA, [main], INFO, Default location:  /models/tlumip/scenario_ChrisTest3/t0/ed/model_data.csv  default year:  1991
25-Jan-2007 13:55:36, GAIA, [main], INFO, Starting ED model in year 1991
25-Jan-2007 13:55:36, GAIA, [main], INFO, Beginning submodel 'FinalDemand' of type 'SimpleFunctions'
25-Jan-2007 13:55:36, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:55:36, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:55:36, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OGSLO value: 7725999.616428201
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OGHE value: 1158857.721987944
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OGLE value: 2794245.2149330163
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OGCO value: 1448579.2997579393
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: ORI value: 1546780.161860113
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: ONRI value: 901933.5505145929
25-Jan-2007 13:55:36, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:55:36, GAIA, [main], INFO, Beginning submodel 'SalesToFinalDemand' of type 'SimpleFunctions'
25-Jan-2007 13:55:36, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:55:36, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:55:36, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDACC value: 417.998733812773
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDAGM value: 2938.6119058676622
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDCOM value: 4039.1398237328594
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDCON value: 5928.317386449807
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDELE value: 1276.7217281830917
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDFIR value: 6055.095574417762
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDFOO value: 4270.430263529041
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDGOV value: 5289.502708135341
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDHEA value: 5720.984416899403
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDHIED value: 1304.5819878350183
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDHOME value: 70.8713370535046
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDLOED value: 2193.3664135344416
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDLUM value: 2545.08
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDOD value: 9521.311605094586
25-Jan-2007 13:55:36, GAIA, [main], INFO, 		variable: OFDOND value: 2279.352452745257
