ZoneNumber,Commodity,TargetPrice,Tolerance,region,type,confidence
2531,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2532,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2533,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2534,FLR Hospital,15.25527191,15.25527191,OR-Small Cities,Office,VLow
2537,FLR Hospital,15.25527191,15.25527191,OR-Small Cities,Office,VLow
2544,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2548,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2550,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2556,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2558,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2565,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2566,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2568,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2569,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2573,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2578,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2579,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2582,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2584,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2589,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2598,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2599,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2601,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2603,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2605,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2613,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2616,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2617,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2618,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2620,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2623,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2638,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2654,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2658,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2662,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2664,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2666,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2670,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2671,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2672,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2678,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2679,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2683,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2692,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2696,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2699,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
