ZoneNumber,Commodity,TargetFloorspace,Tolerance,region,type,confidence
4018,FLR Light Industry,24951.9,17466.33,OOO,Industrial,70%
4019,FLR Light Industry,163173.55,114221.485,OOO,Industrial,70%
4021,FLR Light Industry,1647851.55,1647851.55,Halo-Urban,Industrial,100%
4022,FLR Light Industry,191417.16,191417.16,Halo-Small Cities,Industrial,100%
4023,FLR Light Industry,82482.93,57738.051,OOO,Industrial,70%
4025,FLR Light Industry,146632.53,146632.53,Halo-Small Cities,Industrial,100%
4026,FLR Light Industry,101707.99,101707.99,Halo-Small Cities,Industrial,100%
4027,FLR Light Industry,106336.81,106336.81,Halo-Small Cities,Industrial,100%
4028,FLR Light Industry,903337.65,903337.65,Halo-Small Cities,Industrial,100%
4029,FLR Light Industry,87126.61,60988.627,OOO,Industrial,70%
4030,FLR Light Industry,8819.35,8819.35,Halo-Small Cities,Industrial,100%
4031,FLR Light Industry,3548.4,2483.88,OOO,Industrial,70%
4032,FLR Light Industry,124785.58,124785.58,Halo-Small Cities,Industrial,100%
4033,FLR Light Industry,56707.52,56707.52,Halo-Small Cities,Industrial,100%
4034,FLR Light Industry,204501.19,204501.19,Halo-Small Cities,Industrial,100%
4035,FLR Light Industry,176342.79,176342.79,Halo-Small Cities,Industrial,100%
4036,FLR Light Industry,102358.35,102358.35,Halo-Small Cities,Industrial,100%
4037,FLR Light Industry,410543.17,410543.17,Halo-Small Cities,Industrial,100%
4038,FLR Light Industry,147749.01,147749.01,Halo-Urban,Industrial,100%
4039,FLR Light Industry,502431.83,502431.83,Halo-Urban,Industrial,100%
4040,FLR Light Industry,136556.66,136556.66,Halo-Small Cities,Industrial,100%
4041,FLR Light Industry,1448.3,1013.81,OOO,Industrial,70%
4042,FLR Light Industry,663368.02,663368.02,Halo-Small Cities,Industrial,100%
4043,FLR Light Industry,224726.34,224726.34,Halo-Small Cities,Industrial,100%
4044,FLR Light Industry,619.4339726,1000,Halo-Small Cities,Industrial,100%
4045,FLR Light Industry,50096.7,50096.7,Halo-Small Cities,Industrial,100%
4046,FLR Light Industry,305554.46,305554.46,Halo-Small Cities,Industrial,100%
4047,FLR Light Industry,102969.94,102969.94,Halo-Small Cities,Industrial,100%
4048,FLR Light Industry,204626.25,204626.25,Halo-Small Cities,Industrial,100%
4049,FLR Light Industry,168886.39,168886.39,Halo-Small Cities,Industrial,100%
4050,FLR Light Industry,28820.06,28820.06,Halo-Small Cities,Industrial,100%
4051,FLR Light Industry,630165.42,630165.42,Halo-Urban,Industrial,100%
4052,FLR Light Industry,8681.014783,8681.014783,Halo-Small Cities,Industrial,100%
4053,FLR Light Industry,22006.89,22006.89,Halo-Small Cities,Industrial,100%
4054,FLR Light Industry,37827.47,37827.47,Halo-Small Cities,Industrial,100%
4055,FLR Light Industry,7511.89,7511.89,Halo-Small Cities,Industrial,100%
4056,FLR Light Industry,239584.3,239584.3,Halo-Small Cities,Industrial,100%
4057,FLR Light Industry,18887.77,13221.439,OOO,Industrial,70%
4058,FLR Light Industry,62850.7,62850.7,Halo-Small Cities,Industrial,100%
4059,FLR Light Industry,30549.36,30549.36,Halo-Urban,Industrial,100%
4060,FLR Light Industry,51863.23,51863.23,Halo-Urban,Industrial,100%
4061,FLR Light Industry,458068.5,458068.5,Halo-Urban,Industrial,100%
4062,FLR Light Industry,425947.3,425947.3,Halo-Small Cities,Industrial,100%
4063,FLR Light Industry,2462870.48,2462870.48,Halo-Urban,Industrial,100%
4064,FLR Light Industry,670798.18,670798.18,Halo-Small Cities,Industrial,100%
4065,FLR Light Industry,584394.47,584394.47,Halo-Small Cities,Industrial,100%
4066,FLR Light Industry,1114661.14,1114661.14,Halo-Small Cities,Industrial,100%
4067,FLR Light Industry,836814.78,836814.78,Halo-Small Cities,Industrial,100%
4068,FLR Light Industry,3054730.82,3054730.82,Halo-Urban,Industrial,100%
4069,FLR Light Industry,383653.28,383653.28,Halo-Urban,Industrial,100%
4070,FLR Light Industry,865079.66,865079.66,Halo-Urban,Industrial,100%
4071,FLR Light Industry,95853.09,95853.09,Halo-Small Cities,Industrial,100%
4072,FLR Light Industry,293799.62,293799.62,Halo-Small Cities,Industrial,100%
4073,FLR Light Industry,59442.48,59442.48,Halo-Small Cities,Industrial,100%
4074,FLR Light Industry,43704.69,43704.69,Halo-Small Cities,Industrial,100%
4075,FLR Light Industry,364768.95,364768.95,Halo-Small Cities,Industrial,100%
4076,FLR Light Industry,143723.42,143723.42,Halo-Small Cities,Industrial,100%
4077,FLR Light Industry,124488.1,124488.1,Halo-Small Cities,Industrial,100%
4078,FLR Light Industry,857720.0131,857720.0131,Halo-Urban,Industrial,100%
4079,FLR Light Industry,766106.68,766106.68,Halo-Small Cities,Industrial,100%
4080,FLR Light Industry,141408.56,141408.56,Halo-Small Cities,Industrial,100%
4081,FLR Light Industry,147962.42,147962.42,Halo-Small Cities,Industrial,100%
4082,FLR Light Industry,156691.39,156691.39,Halo-Small Cities,Industrial,100%
4083,FLR Light Industry,123378.4,123378.4,Halo-Urban,Industrial,100%
4084,FLR Light Industry,109852.07,109852.07,Halo-Urban,Industrial,100%
4085,FLR Light Industry,473348.98,473348.98,Halo-Urban,Industrial,100%
4086,FLR Light Industry,486596.1,486596.1,Halo-Urban,Industrial,100%
4087,FLR Light Industry,661849.78,661849.78,Halo-Urban,Industrial,100%
4088,FLR Light Industry,133449.0288,133449.0288,Halo-Urban,Industrial,100%
4089,FLR Light Industry,2503991.627,2503991.627,Halo-Urban,Industrial,100%
4090,FLR Light Industry,67523.21,67523.21,Halo-Small Cities,Industrial,100%
4091,FLR Light Industry,41728.52,41728.52,Halo-Small Cities,Industrial,100%
4092,FLR Light Industry,152014.23,152014.23,Halo-Small Cities,Industrial,100%
4093,FLR Light Industry,916563.76,916563.76,Halo-Small Cities,Industrial,100%
4094,FLR Light Industry,270125.85,270125.85,Halo-Urban,Industrial,100%
4095,FLR Light Industry,183828.49,183828.49,Halo-Urban,Industrial,100%
4096,FLR Light Industry,234.43,1000,Halo-Small Cities,Industrial,100%
4105,FLR Light Industry,667736.24,667736.24,Halo-Small Cities,Industrial,100%
4136,FLR Light Industry,134742.24,134742.24,Halo-Small Cities,Industrial,100%
4137,FLR Light Industry,51612.79,51612.79,Halo-Small Cities,Industrial,100%
4138,FLR Light Industry,294463,294463,Halo-Small Cities,Industrial,100%
4140,FLR Light Industry,115942.07,115942.07,Halo-Small Cities,Industrial,100%
