Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search
Internal Services Information,164,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Utilities,165,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Education k12,166,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
Internal Services Government Administration,167,128.6791322,128.6791322,1,-1,0,1,1,0.08,0.0641026,0,0,b8mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
GHG Permits,169,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE
Government Support Receipts,301,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE
Tax Receipts,302,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE
Investing Receipts,303,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE
Return Investment Receipts,304,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE
Capital Transfer Receipts,305,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE
Education Reports to Sponsors,306,100,100,1,-1,0,1,1,0,0,0,0,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE
Proprietor Income Receipts,307,100,100,1,-1,0,1,1,0,1,1,1,betapkautotime,none,none,s,1,FALSE,1,unknown,FALSE,TRUE
A1-Mgmt Bus,401,62.84323096,62.84323096,1,-1,0,1,1,0.0040304,7.6923077,0,0,w7mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
B1-Prof Specialty,402,62.84323096,62.84323096,1,-1,0,1,1,0.0040319,7.6923077,0,0,w7mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
B2-Education,403,84.10086473,84.10086473,1,-1,0,1,1,0.0056716,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
B3-Health,404,86.91653181,86.91653181,1,-1,0,1,1,0.0032277,7.6923077,0,0,w7mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
B4-Technical Unskilled,405,74.81043905,74.81043905,1,-1,0,1,1,0.01,0.9615385,0,0,w1mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
C1-Sales Clerical Professionals,406,98.18863115,98.18863115,1,-1,0,1,1,0.0048769,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
C2-Sales Service,407,56.18529642,56.18529642,1,-1,0,1,1,0.0070781,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
C3-Clerical,408,56.18529642,56.18529642,1,-1,0,1,1,0.0076858,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
C4-Sales Clerical Unskilled,409,43.82964622,43.82964622,1,-1,0,1,1,0.0111272,0.9615385,0,0,w1mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
D1-Production Specialists,410,41.10028743,41.10028743,1,-1,0,1,1,0.0064099,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
D2-MaintConstRepair Specialists,411,49.79829962,49.79829962,1,-1,0,1,1,0.00566,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
D3-ProtectTrans Specialists,412,49.79829962,49.79829962,1,-1,0,1,1,0.0061657,3.8461538,0,0,w4mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
D4-Blue Collar Unskilled,413,59.47306222,59.47306222,1,-1,0,1,1,0.0085101,0.9615385,0,0,w1mcls_beta,none,none,c,1,FALSE,1,unknown,FALSE,TRUE
FLR Agriculture,501,5000,5000,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,0.02,TRUE,0.02,unknown,FALSE,TRUE
FLR Logging,502,5000,5000,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,0.02,TRUE,0.02,unknown,FALSE,TRUE
FLR Hospital,503,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR Retail,504,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR Office,505,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR Heavy Industry,506,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR Light Industry,507,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR Warehouse,508,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR Institutional,509,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR Accommodation,510,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR Government Support,511,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR K12,512,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR SFD,513,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR AT,514,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR MH,515,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR RRMH,516,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR RRSFD,517,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
FLR MF,518,5,5,1,-1,0,1,1,0,0,0,0,betapkautotime,betapkautodist,betapkautotoll,n,1,TRUE,1,unknown,FALSE,TRUE
