azone,activity,quantity
6003,sctg38_mit_inst_prec_expt,1334253228
6004,sctg38_mit_inst_prec_expt,1110964275
6005,sctg38_mit_inst_prec_expt,129634681.6
6006,sctg38_mit_inst_prec_expt,144242461.9
6001,sctg38_mit_inst_prec_impt,203968316.2
6002,sctg38_mit_inst_prec_impt,193473969.1
6003,sctg38_mit_inst_prec_impt,1868125742
6004,sctg38_mit_inst_prec_impt,1100921444
6005,sctg38_mit_inst_prec_impt,173902229.2
6006,sctg38_mit_inst_prec_impt,186336405.3
6001,sctg39_oth_furn_expt,455326080
6002,sctg39_oth_furn_expt,135965099.5
6003,sctg39_oth_furn_expt,506313875.6
6004,sctg39_oth_furn_expt,375001852.6
6005,sctg39_oth_furn_expt,10541892.24
6006,sctg39_oth_furn_expt,78060463.07
6001,sctg39_oth_furn_impt,435638057.1
6002,sctg39_oth_furn_impt,29604701.3
6003,sctg39_oth_furn_impt,870951830
6004,sctg39_oth_furn_impt,434477201
6005,sctg39_oth_furn_impt,443079346.2
6006,sctg39_oth_furn_impt,116513217.5
6001,sctg40_oth_misc_expt,605731185.9
6002,sctg40_oth_misc_expt,97383469.35
6003,sctg40_oth_misc_expt,1216263139
6004,sctg40_oth_misc_expt,445998079.8
6005,sctg40_oth_misc_expt,17091563.09
6006,sctg40_oth_misc_expt,125393023
6001,sctg40_oth_misc_impt,503662327.9
6002,sctg40_oth_misc_impt,271872807.6
6003,sctg40_oth_misc_impt,2840816781
6004,sctg40_oth_misc_impt,1263287957
6005,sctg40_oth_misc_impt,275055723.6
6006,sctg40_oth_misc_impt,271299768.2
6001,sctg41_waste_scrap_expt,42406012.98
6002,sctg41_waste_scrap_expt,2167820.879
6003,sctg41_waste_scrap_expt,9121725.187
6004,sctg41_waste_scrap_expt,16217008.02
6005,sctg41_waste_scrap_expt,187364766.9
6006,sctg41_waste_scrap_expt,257277334.5
6001,sctg41_waste_scrap_impt,75775552.26
6002,sctg41_waste_scrap_impt,18597253.06
6003,sctg41_waste_scrap_impt,57128041.02
6004,sctg41_waste_scrap_impt,79985331.28
6005,sctg41_waste_scrap_impt,3796168.655
6006,sctg41_waste_scrap_impt,235282345.8
