vehicle_type,sctg2,auto,livestock,bulk,flatbed,tank,dry_van,reefer,logging,other
CS,16,0,0,0.00055,0,0.03505,0,0,0,0
CS,17,0,0,0,0,0.02918,0.00044,0,0,0
CS,18,0,0,0.00005,0.00033,0.02883,0.00059,0,0,0
CS,19,0,0,0.0003,0.00153,0.03075,0.00344,0,0,0
CS,20,0,0,0.00004,0.00467,0.0281,0.0054,0,0,0
CS,21,0,0,0,0,0,0.02969,0.01779,0,0
CS,22,0,0,0.01042,0.00925,0.01569,0.00166,0.00025,0,0
CS,23,0,0,0,0.0013,0.0266,0.00896,0.0003,0,0
CS,24,0,0,0.00033,0.00511,0.00599,0.03019,0.00065,0,0
CS,25,0,0,0.00172,0.00586,0,0.00117,0,0.02563,0
CS,26,0,0,0.00529,0.02031,0,0.00905,0.0001,0.00109,0
CS,27,0,0,0,0.00495,0,0.02996,0.00046,0,0
CS,28,0,0,0,0.00031,0,0.03765,0.0005,0,0
CS,29,0,0,0,0.00071,0,0.03842,0.00187,0,0
CS,30,0,0,0,0.00096,0,0.03345,0.00069,0,0
CS,31,0,0,0.00288,0.01613,0.01163,0.00331,0.00005,0.00024,0
CS,32,0,0.00027,0.00144,0.03045,0.00017,0.00344,0.00018,0.00036,0
CS,33,0,0,0.00048,0.02839,0.0001,0.00839,0,0,0
CS,34,0,0.00009,0.0001,0.03017,0,0.00621,0.00018,0,0
CS,35,0,0,0,0.00344,0,0.03622,0,0,0
CS,36,0.01607,0,0.00038,0.00722,0,0.01871,0,0,0
CS,37,0.0003,0,0.00022,0.0187,0,0.0167,0,0.00102,0
CS,38,0,0,0,0.00625,0,0.03851,0,0,0
CS,39,0,0,0,0.00233,0,0.03413,0.00171,0,0
CS,40,0,0,0.00006,0.00374,0,0.03022,0.00159,0,0.00478
CS,41,0,0,0.02326,0.00207,0.00785,0.00289,0.00013,0,0
CS,42,0,0,0,0.0015,0.03183,0.00323,0,0,0
CS,43,0,0,0,0.0009,0,0.04007,0.00082,0,0
DBL,1,0,0.02963,0,0,0,0,0,0,0
DBL,2,0,0,0.02166,0.00434,0.0003,0,0,0,0
DBL,3,0,0,0.00363,0.02674,0.00057,0.00214,0,0,0
DBL,4,0,0,0.0114,0.01572,0.00081,0.00436,0,0,0
DBL,5,0,0,0,0,0,0,0.0625,0,0
DBL,6,0,0,0,0,0,0.05882,0,0,0
DBL,7,0,0,0,0.01003,0.00116,0.00546,0.01426,0,0
DBL,8,0,0,0,0,0,0,0.06061,0,0
DBL,9,0,0,0,0,0,0,0,0,0
