Azone,Bzone,PECASName,ALDRegion,STATEFIPS,COUNTYFIPS,PUMA2000,PUMA1990,HourPark,DayPark,LUIntensityCode,MPOmodeledzones,ACT,Fare
196.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1311.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
197.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1311.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
198.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1311.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
199.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
200.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
201.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
202.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
203.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
204.0,161.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
205.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
206.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1311.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
