"year","trade_activity","dollars"
2014,"sctg24_pcc_petr_plast_expt",2354937
2014,"sctg24_pcc_petr_plast_impt",5058170
2014,"sctg25_fwp_logs_expt",1195179
2014,"sctg25_fwp_logs_impt",358582
2014,"sctg26_fwp_wood_expt",4826007
2014,"sctg26_fwp_wood_impt",686495
2014,"sctg27_ppp_papr_puplp_expt",4484463
2014,"sctg27_ppp_papr_puplp_impt",924567
2014,"sctg28_ppp_papr_paper_expt",840139
2014,"sctg28_ppp_papr_paper_impt",1398336
2014,"sctg29_ppp_papr_print_expt",1081791
2014,"sctg29_ppp_papr_print_impt",1868469
2014,"sctg30_oth_clth_expt",585003
2014,"sctg30_oth_clth_impt",3785700
2014,"sctg31_cms_min_expt",1014462
2014,"sctg31_cms_min_impt",1507362
2014,"sctg32_mit_metl_base_expt",3721272
2014,"sctg32_mit_metl_base_impt",4406970
2014,"sctg33_mit_metl_prod_expt",3004190
2014,"sctg33_mit_metl_prod_impt",3095174
2014,"sctg34_mit_mach_expt",5888824
2014,"sctg34_mit_mach_impt",8303487
2014,"sctg35_mit_elct_expt",28299779
2014,"sctg35_mit_elct_impt",13036630
2014,"sctg36_mit_tran_expt",4444762
2014,"sctg36_mit_tran_impt",7864796
2014,"sctg37_mit_inst_transp_expt",3009576
2014,"sctg37_mit_inst_transp_impt",2323586
2014,"sctg38_mit_inst_prec_expt",2669699
2014,"sctg38_mit_inst_prec_impt",3443463
2014,"sctg39_oth_furn_expt",1312576
