AZone,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD,FLR Accommodation,FLR Government Support,FLR K12,FLR Heavy Industry,FLR Hospital,FLR Institutional,FLR Light Industry,FLR Office,FLR Retail,FLR Warehouse,FLR Agriculture,FLR Logging
89,0.003486,0.183075,0.055886,0.858432,0.000193,0.039791,0,0,0,0,0,0,0.000648,0.000798,0,0,0,0
90,0.001071,0.331945,0.116271,0.924771,0.000059,0.02596,0,0,0,0,0,0.018355,0.062274,0.043241,0.024296,0,0,0
91,0.000068,0.076652,0.138798,1.166993,0,0,0,0,0,0,0,0.003796,0,0.004472,0.013702,0.027132,0,0
92,0.003103,0.250051,0.154419,0.362098,0.000172,0.016738,0.085472,0.00107,0.026352,0.00186,0,0.062514,0.048957,0.860119,1.925093,0.001719,0,0
93,0,0.17163,0.116876,0.621979,0,0,0,0,0,0,0,0,0.00335,0.019394,0.148679,0.00134,0,0
94,0.012797,0.263927,0.070863,0.820563,0,0,0,0,0.037496,0.009915,0,0.027576,0.043227,0.121596,0.001392,0.005198,0,0
95,0.052303,0.109323,0.025683,0.585035,0,0,0.007116,0,0.459792,0.02876,0,0.026792,0.064657,0.483935,0.113272,0.152157,0,0
96,0.044692,0.251489,0.032148,0.39794,0,0,0.001067,0,0.01098,0.062004,0.000496,0.022545,0.158232,0.484825,0.423994,8.400763,0,0
97,0.026392,0.172015,0.032903,0.334853,0,0,0,0,0.02232,0,0,0.008364,0.01613,0.258777,0.117444,0.004743,0,0
98,0.020352,0.311432,0.059549,0.590622,0,0,0.027278,0,0,0,0,0.020466,0.006016,0.046622,0.384478,0,0,0
99,0.001811,0.176334,0.055228,1.361209,0,0,0,0,0.011336,0,0,0.062409,0.002424,0.048656,0.006617,0.001929,0,0
100,0,0.165275,0.056199,0.213426,0,0,0,0,0,0,0,0.00336,0.135696,0.142716,0,0,0,0
101,0,0.537339,0.174058,1.083535,0,0.000029,0,0,0.00733,0,0,0.00119,0.001102,0.012842,0.001326,0.002584,0,0
102,0.000098,0.084442,0.00204,1.263005,0.000001,0.000512,0.000576,0,0.028587,0,0,0.008472,0.000491,0.008451,0.004199,0,0,0
103,0.000029,0.021723,0.045931,2.236814,0,0.000151,0.006202,0,0.016126,0.2146,0,0.006781,0.013949,0.024176,0.013079,0,0,0
104,0.000001,0.299482,0.017027,1.180533,0,0.000006,0,0,0.012208,0,0,0.002983,0.006454,0.038165,0.049154,0,0,0
105,0,0.186222,0.055434,0.478262,0,0,0,0,0,0,0,0,0,0.000221,0.009392,0,0,0
106,0.00017,0.226148,0.077465,0.291888,0,0,0,0.010455,0,0,0,0,0.051616,0.096821,0.135946,0,0,0
107,0,0.066162,0.000095,0.146899,0,0,0,0,0.002928,0.000412,0.011802,0.011641,0.0484,0.156756,0.048009,0,0,0
108,0.000449,0.305014,0.002126,0.689338,0,0,0,0,0.047088,0,0,0.004713,0.00869,0.016125,0.062745,0,0,0
109,0.001529,0.071736,0.012838,0.204216,0,0,0,0,0,0,0,0.000221,0,0,0.000442,0,0,0
110,0.00847,0.09889,0.016731,0.346777,0,0,0,0,0,0,0,0.000197,0.00153,0.017104,0.17927,0,0,0
111,0.020558,0.285893,0.048059,0.32818,0,0,0.004268,0,0.006588,0.024438,0,0.023357,0.050684,0.353847,0.681745,0,0,0
112,0.017255,0.198978,0.022387,0.188583833,0,0,0,0,0.006696,0.00375,0,0.003892,0.003802,0.075685,0.398032,0.003162,0,0
113,0.023403,0.45806,0.159078,0.733258,0,0,0,0.024362,0,0.004532,0,0.046202,0.037473,0.432212,0.190188,0.003099,0,0
114,0.000696,0.294614,0.373186,0.913351,0,0,0,0.00561,0.010416,0.001533,0,0.03073,0.003602,0.050197,0.045696,0.002682,0,0
115,0,0.027581,0.118317,0.416836,0,0.000001,0.002134,0.000428,0,0.001744,0.000744,0.01204,0.056126,0.227844,0.052169,0.00172,0,0
116,0.0006,0.058768,0.039526,0.268882,0.000033,0.003159,0.028809,0.000428,0.322812,0.005867,0,0.057458,0.042274,0.751793,0.213547,0.000197,0,0
117,0.000063,1.112492,0.24052,0.753696,0.000003,0.000442,0.004744,0.00102,0.049104,0.003881,0.001112,0.00622,0.0142,0.160714,0.110387,0.009006,0,0
118,0,0.480851,0.316883,0.747901,0,0,0,0,0.003665,0,0,0.000247,0.000216,0.008867,0.037881,0,0,0
119,0,0.271717,0.047814,0.545148,0,0.000471,0,0,0.36966,0,0,0.059321,0.007866,0.098006,0.031898,0.001719,0,0
120,0,0.223723,0.051514,2.148976,0,0,0,0,0.002364,0,0,0.018569,0.001296,0.010465,0.002224,0,0,0
121,0.00822,0.246004,0.298467,1.238017,0,0,0,0,0.014136,0,0,0.018667,0.000527,0.006035,0.00325,0,0,0
122,0.045109,0.710174,0.660111,1.351116,0,0,0,0,0.020928,0,0,0.02889,0.004926,0.036109,0.043406,0.009645,0,0
123,0,0.17347,0.092274,0.175756,0,0,0,0,0,0,0,0.010499,0.000508,0.03211,0,0,0,0
124,0,0.148099,0.080372,0.148846,0,0,0,0,0.036624,0,0,0.00879,0.00847,0.007551,0.015052,0,0,0
125,0.011609,0.169422,0.048252,0.102903,0,0,0.004268,0,0,0,0,0.006373,0.021494,0.134805,0.248708,0.001719,0,0
126,0.005299,0.071242,0.011604,0.108721,0,0,0,0.000428,0,0.000412,0,0.060498,0.014224,0.078334,0.589104,0,0,0
127,0.014177,0.196565,0.078004,2.166216,0,0,0,0,0.008928,0,0,0.037724,0.002732,0.022388,0.003114,0,0,0
128,0.005501,0.50077,0.103441,0.323676,0,0,0,0,0,0,0,0.008896,0.014392,0.069025,0.051478,0,0,0
129,0.000806,0.003651,0.015862,1.839957,0.000005,0.004196,0,0,0.014824,0,0,0.002277,0.001972,0.017292,0.020217,0,0,0
130,0,0.04856,0.038413,0.76398,0,0,0,0,0,0,0,0.001547,0.000221,0.003946,0.000452,0,0,0
131,0,0.116118,0.056839,1.57359,0,0,0,0,0.020088,0,0,0.025023,0.021221,0.165725,0.304086,0.010827,0,0
132,0.005203,0.230694,0.072802,0.453184,0,0,0,0,0.005856,0.02112,0,0.001576,0.034044,0.434999,0.140236,0,0,0
133,0.000181,0.314903,0.160807,2.243016,0,0,0,0,0.03052,0.091218,0,0.040332,0.273216,0.032931,0.031506,0,0,0
134,0.064722,0.107408,0.008844,0.625181,0,0,0,0,0.022723,0,0,0,0.000054,0.001126,0.000442,0,0,0
135,0.027465,0.215267,0.034331,0.041728,0,0,0,0,0,0.038351,0,0.017975,0.12204,0.511684,0.12427,0,0,0
136,0.019821,0.158922,0.025504,0.028485,0,0,0,0,0,0.001178,0,0,0,0.196442,0.069412,0.024066,0,0
137,0.030812,0.255046,0.040956,0.029152,0,0,0,0,1.040003,0.039838,0,0.098072,0.008299,0.390004,0.021406,0.002922,0,0
138,0.0072,0.059873,0.00962,0.00645,0,0,0,0,0,0.000508,0,0,0.019062,0.063054,0.028614,0,0,0
139,0.007223,0.060174,0.009706,0.006578,0,0,0,0,0,0,0,0,0.002016,0.41518,0.05646,0,0,0
140,0.004817,0.04393,0.008453,0.008271,0,0,0,0,0.004464,0,0,0.007784,0.011574,0.078129,0.04959,0,0,0
141,0.006051,0.053306,0.009638,0.008467,0,0,0.022534,0,0,0.000351,0,0,0.002318,0.010546,0.154522,0,0,0
142,0,0.075928,0.039542,0.077569,0,0,0,0,0,0,0,0,0.014643,0.002177,0.044004,0,0,0
143,0.015053,0.412964,0.144862,0.182599,0,0,0,0,0.0225,0,0,0.056792,0.000054,0.027785,0.119244,0,0,0
144,0,0.146341,0.076212,0.149504,0,0,0,0,0,0,0,0.000756,0.002232,0.081273,0.125443,0.00172,0,0
145,0.00004,0.240266,0.102375,0.31318,0,0,0,0,0,0,0,0.014649,0.000162,0.004334,0.016051,0,0,0
146,0,0.495481,0.401103,1.094713,0,0,0,0.00918,0,0,0,0.025928,0.022951,0.060918,0.173616,0.001581,0,0
147,0,0.16363,0.226315,0.950267,0,0,0,0,0,0,0,0.016191,0.000162,0.002671,0.00057,0,0,0
148,0,0.495645,0.367047,2.155809,0,0,0,0,0,0,0,0.033423,0.005665,0.028462,0.064382,0,0,0
149,0,0.210211,0.036745,0.413757,0,0,0,0,0,0,0,0.000247,0.00027,0.001768,0.000221,0,0,0
150,0.005723,0.378276,0.051296,0.864742,0,0,0,0,0.013392,0,0,0.008856,0.028013,0.072668,0.202449,0.009486,0,0
151,0.007293,0.30711,0.221472,1.801808,0,0,0,0,0.01308,0,0,0.003172,0,0.007658,0.015407,0.000394,0,0
152,0,0.009839,0.156294,1.660518,0,0,0,0,0.014824,0.001983,0,0.003732,0.019898,0.009836,0.023099,0.005787,0,0
153,0,0.006549,0.214663,1.187603,0,0,0,0,0.01308,0,0,0.003732,0,0.00419,0.002637,0,0,0
154,0.000845,0.290728,0.311808,1.073237,0,0,0,0,0,0,0,0.00024,0.000905,0.004667,0.038532,0.001581,0,0
155,0.015242,0.295007,0.154885,0.273928,0,0,0,0,0,0,0,0,0.00027,0.013512,0,0,0,0
156,0.010736,0.208233,0.112962,0.202995,0,0,0,0,0,0,0,0,0,0.016214,0.00452,0,0,0
157,0.003221,0.104442,0.063256,0.007452,0,0,0,0,0,0,0,0,0.023086,0.002873,0,0,0,0
158,0.000503,0.064338,0.046337,0.003988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0.002393,0.145029,0.169704,0.186724,0,0,0,0.000255,0.132432,0.003861,0,0.00048,0.041902,0.197971,0,0.3162,0,0
160,0.002466,0.191274,0.132796,0.012659,0,0,0,0,0,0.033372,0,0,0.065628,0.311762,0.160566,0.008598,0,0
161,0.005791,0.233596,0.109086,0.363609,0,0,0.012804,0,0.000732,0,0,0.004412,0.012955,0.311688,0.514929,0.001719,0,0
162,0.00001,0.200627,0.100874,0.473541,0,0,0.110298,0,0.013392,0.015591,0,0.002956,0.030724,0.566114,0.072454,0.070185,0,0
163,0.012939,0.275546,0.11319,0.31447,0,0,0.017318,0,0,0.000702,0,0.02085,0.002301,0.030956,0.019153,0,0,0
