Azone,FLRType,FLRName,BldgMSQFT
1542.0,AgForest,FLR Logging,9547387.24
1546.0,AgForest,FLR Logging,213674.99
1549.0,AgForest,FLR Logging,50193974.15
1549.0,AgForest,FLR Agriculture,197186.5423
1552.0,AgForest,FLR Logging,31763.58
1553.0,AgForest,FLR Logging,98822.64
1554.0,AgForest,FLR Logging,145687.5
1555.0,AgForest,FLR Logging,16210949.83
1556.0,AgForest,FLR Logging,20046599.45
1557.0,AgForest,FLR Logging,369074.99
1558.0,AgForest,FLR Logging,9712.5
1565.0,AgForest,FLR Logging,4356000.0
1565.0,AgForest,FLR Agriculture,19602000.0
1566.0,AgForest,FLR Logging,3281175.07
1572.0,AgForest,FLR Agriculture,13150724.64
1576.0,AgForest,FLR Logging,15743962.07
1577.0,AgForest,FLR Logging,456487.49
1578.0,AgForest,FLR Logging,6808462.31
1580.0,AgForest,FLR Logging,155400.0
1581.0,AgForest,FLR Agriculture,20852736.92
1588.0,AgForest,FLR Logging,18457405.37
1588.0,AgForest,FLR Agriculture,21192952.36
1593.0,AgForest,FLR Logging,4582.6
1595.0,AgForest,FLR Logging,3740194.356
1595.0,AgForest,FLR Agriculture,103062957.7
1597.0,AgForest,FLR Logging,567233.9638
1597.0,AgForest,FLR Agriculture,120150827.3
1610.0,AgForest,FLR Logging,9712.5
1613.0,AgForest,FLR Logging,15530287.07
1623.0,AgForest,FLR Logging,5815384.58
1625.0,AgForest,FLR Logging,16209836.43
1630.0,AgForest,FLR Agriculture,45546160.58
1631.0,AgForest,FLR Logging,120354982.4
1638.0,AgForest,FLR Agriculture,56424204.12
1639.0,AgForest,FLR Agriculture,12892380.44
1640.0,AgForest,FLR Logging,116550.0
1649.0,AgForest,FLR Logging,41147638.28
1650.0,AgForest,FLR Agriculture,26443803.58
1651.0,AgForest,FLR Agriculture,68094335.61
1652.0,AgForest,FLR Logging,6425167.088
1652.0,AgForest,FLR Agriculture,30937876.76
1653.0,AgForest,FLR Agriculture,32226074.11
1654.0,AgForest,FLR Agriculture,13461524.63
1655.0,AgForest,FLR Logging,137992375.5
1655.0,AgForest,FLR Agriculture,64755487.56
1656.0,AgForest,FLR Logging,204846060.8
1656.0,AgForest,FLR Agriculture,208942982.0
1657.0,AgForest,FLR Agriculture,257905957.9
1658.0,AgForest,FLR Logging,721730000.2
1659.0,AgForest,FLR Agriculture,29537387.25
1701.0,AgForest,FLR Logging,358541.9782
1701.0,AgForest,FLR Agriculture,37422379.47
1702.0,AgForest,FLR Logging,108857694.7
1702.0,AgForest,FLR Agriculture,3681498.027
1703.0,AgForest,FLR Logging,26670134.51
1703.0,AgForest,FLR Agriculture,2048352.591
1704.0,AgForest,FLR Logging,849120.3389
1704.0,AgForest,FLR Agriculture,158530570.0
1706.0,AgForest,FLR Logging,342195.9263
1706.0,AgForest,FLR Agriculture,60758.77165
