ZoneNumber,ZoneName,External,xCoordinate,yCoordinate
2878,Other OR,FALSE,-121.677898,44.06495911
2879,Other OR,FALSE,-121.537515,43.96328295
2884,Other OR,FALSE,-121.695272,43.72249597
2889,Other OR,FALSE,-121.394887,43.9120085
2894,Other OR,FALSE,-121.991232,43.17662031
2895,Other OR,FALSE,-121.580628,43.36109349
2896,Other OR,FALSE,-121.779376,42.73136074
2897,Other OR,FALSE,-121.297472,42.52676948
2898,Other OR,FALSE,-122.077677,42.22150298
2899,Other OR,FALSE,-121.5895,42.27945872
2900,Other OR,FALSE,-121.100872,42.29443317
2901,Other OR,FALSE,-121.632576,42.07267945
2906,Other OR,FALSE,-121.842185,42.27913267
2908,Other OR,FALSE,-121.757879,42.19190385
2911,Other OR,FALSE,-121.759333,42.22551968
2955,Other OR,FALSE,-121.058071,43.34385458
2956,Other OR,FALSE,-120.354391,43.29815619
2957,Other OR,FALSE,-120.77284,42.77764602
2958,Other OR,FALSE,-119.876583,42.45061226
2959,Other OR,FALSE,-120.572378,42.2054353
2960,Other OR,FALSE,-120.338053,42.21632651
2964,Other OR,FALSE,-121.135443,44.09886223
2968,Other OR,FALSE,-121.234905,44.02547352
2970,Other OR,FALSE,-120.538163,43.71174323
2971,Other OR,FALSE,-121.120495,43.82339825
2972,Other OR,FALSE,-121.343387,44.08587796
2974,Other OR,FALSE,-121.283275,44.08418116
2981,Other OR,FALSE,-121.316186,44.05275829
2984,Other OR,FALSE,-121.344806,44.02782805
2987,Other OR,FALSE,-121.282805,44.05201359
2988,Other OR,FALSE,-121.301323,44.01510544
3012,Other OR,FALSE,-119.55417,45.83578926
3015,Other OR,FALSE,-119.785914,45.58220023
3017,Other OR,FALSE,-119.458017,45.27089484
3020,Other OR,FALSE,-119.306459,45.90010233
3022,Other OR,FALSE,-119.170943,45.8394459
3025,Other OR,FALSE,-119.376301,45.81771806
3027,Other OR,FALSE,-119.277361,45.84845138
3032,Other OR,FALSE,-119.272106,45.79973359
3040,Other OR,FALSE,-119.119339,45.62492038
3042,Other OR,FALSE,-118.167594,45.91079269
3043,Other OR,FALSE,-118.563174,45.89302677
3044,Other OR,FALSE,-118.391715,45.91087069
3054,Other OR,FALSE,-118.871623,45.83562471
3056,Other OR,FALSE,-118.788705,45.66956748
3062,Other OR,FALSE,-118.782982,45.61522891
3072,Other OR,FALSE,-118.388827,45.53168059
3073,Other OR,FALSE,-118.8756,45.21948315
3074,Other OR,FALSE,-118.460155,45.69552345
3077,Other OR,FALSE,-117.916518,45.65233967
3081,Other OR,FALSE,-117.611475,45.19999153
3082,Other OR,FALSE,-117.927362,44.96679389
3083,Other OR,FALSE,-117.905135,45.37471792
3087,Other OR,FALSE,-118.084313,45.32884354
3092,Other OR,FALSE,-118.329665,45.21806193
3106,Other OR,FALSE,-116.918005,45.52420665
3108,Other OR,FALSE,-117.272173,45.52100637
3111,Other OR,FALSE,-117.542682,45.82402865
3112,Other OR,FALSE,-117.466319,45.37634419
3117,Other OR,FALSE,-118.896741,44.84319385
3118,Other OR,FALSE,-119.249485,44.67160104
3119,Other OR,FALSE,-118.603333,44.32338276
3120,Other OR,FALSE,-119.325564,44.236851
3121,Other OR,FALSE,-119.050837,44.42178949
3126,Other OR,FALSE,-118.167189,44.54268134
3128,Other OR,FALSE,-117.836366,44.78753129
3131,Other OR,FALSE,-117.877407,44.76049376
3133,Other OR,FALSE,-117.562915,44.56851304
3139,Other OR,FALSE,-117.246183,44.84913032
3140,Other OR,FALSE,-119.079132,43.78710662
3141,Other OR,FALSE,-119.078826,43.58221708
3147,Other OR,FALSE,-118.563816,43.46179258
3149,Other OR,FALSE,-118.58443,42.59788156
3150,Other OR,FALSE,-119.351134,42.91161586
3151,Other OR,FALSE,-116.998598,44.12083302
3153,Other OR,FALSE,-117.730388,44.11118064
3157,Other OR,FALSE,-116.997902,44.0197904
3171,Other OR,FALSE,-117.035502,43.95852494
3172,Other OR,FALSE,-117.039895,43.8870576
3177,Other OR,FALSE,-117.279824,43.99855275
3181,Other OR,FALSE,-117.095787,43.72646288
3183,Other OR,FALSE,-117.7723,43.4332844
3184,Other OR,FALSE,-117.319489,43.20000579
3185,Other OR,FALSE,-117.618484,42.45671257
4001,HaloNV,FALSE,-117.532059,41.70492335
4002,HaloWA,FALSE,-117.204243,46.19015013
4003,HaloWA,FALSE,-117.545192,46.43158194
4004,HaloNV,FALSE,-117.345339,41.03007024
4005,HaloCA,FALSE,-123.889717,41.74215583
4006,HaloCA,FALSE,-123.165101,41.55985696
4007,HaloCA,FALSE,-122.477924,41.77808088
4008,HaloCA,FALSE,-121.814235,41.83167489
4009,HaloCA,FALSE,-120.724954,41.58983882
4010,HaloNV,FALSE,-119.645558,40.77821996
4011,HaloNV,FALSE,-118.640835,41.73473017
4012,HaloCA,FALSE,-121.77484,40.7990912
4013,HaloCA,FALSE,-121.813887,41.41303766
4014,HaloCA,FALSE,-123.780654,41.04641967
4015,HaloCA,FALSE,-123.951967,40.36393569
4016,HaloCA,FALSE,-124.113914,40.88612442
4017,HaloCA,FALSE,-124.191529,41.77918926
4018,HaloCA,FALSE,-122.52679,40.74846088
4019,HaloCA,FALSE,-123.11263,40.65069501
4021,HaloCA,FALSE,-122.342781,40.55789784
4022,HaloCA,FALSE,-122.3805,41.39157881
4023,HaloCA,FALSE,-120.599531,40.70040476
4025,HaloCA,FALSE,-120.541143,40.40065725
4026,HaloNV,FALSE,-118.532279,41.18777829
4027,HaloWA,FALSE,-117.907876,46.29754629
4028,HaloWA,FALSE,-118.487131,46.23969531
4029,HaloWA,FALSE,-119.472101,46.01416156
4030,HaloWA,FALSE,-121.671151,45.7584489
4031,HaloWA,FALSE,-121.903229,46.10376207
4032,HaloWA,FALSE,-122.515087,46.01152191
4033,HaloWA,FALSE,-122.758481,46.11685086
4034,HaloWA,FALSE,-122.88184,46.11180463
4035,HaloWA,FALSE,-122.954999,46.11978132
4036,HaloWA,FALSE,-121.965376,46.59261003
4037,HaloWA,FALSE,-119.61136,46.41055908
4038,HaloWA,FALSE,-119.083995,46.13670919
4039,HaloWA,FALSE,-119.354368,46.23812481
4040,HaloWA,FALSE,-120.7983,46.23644438
4041,HaloWA,FALSE,-122.486279,46.2482955
4042,HaloWA,FALSE,-122.917583,46.13733686
4043,HaloWA,FALSE,-122.958746,46.14159685
4044,HaloWA,FALSE,-122.109059,45.6866134
4045,HaloWA,FALSE,-121.912335,45.76632682
4046,HaloWA,FALSE,-123.682654,46.5643994
4047,HaloID,FALSE,-124.034228,46.42815018
4048,HaloWA,FALSE,-122.623801,46.53148413
4049,HaloWA,FALSE,-123.089633,46.23904631
4050,HaloWA,FALSE,-123.189266,46.5890249
4051,HaloWA,FALSE,-122.958074,46.67591594
4052,HaloWA,FALSE,-122.945956,46.32763427
4053,HaloWA,FALSE,-123.423894,46.29211361
4054,HaloWA,FALSE,-122.931005,46.17709914
4055,HaloWA,FALSE,-122.948204,46.47340158
4056,HaloWA,FALSE,-120.565328,45.90137866
4057,HaloWA,FALSE,-121.130439,45.77431447
4058,HaloWA,FALSE,-121.474661,45.87299894
4059,HaloWA,FALSE,-118.292192,46.0343711
4060,HaloWA,FALSE,-118.357486,46.0773781
4061,HaloWA,FALSE,-118.34576,46.06149006
4062,HaloWA,FALSE,-121.039276,46.7403343
4063,HaloWA,FALSE,-120.540788,46.58713597
4064,HaloWA,FALSE,-120.410582,46.40774822
4065,HaloWA,FALSE,-120.191255,46.60901354
4066,HaloWA,FALSE,-120.003805,46.35922897
4067,HaloWA,FALSE,-118.89377,46.54136655
4068,HaloWA,FALSE,-119.276646,46.29226844
4069,HaloWA,FALSE,-119.123998,46.24295666
4070,HaloWA,FALSE,-119.149578,46.20545019
4071,HaloID,FALSE,-115.467423,45.84420835
4072,HaloID,FALSE,-116.85054,46.12446566
4073,HaloID,FALSE,-116.426249,46.23701012
4074,HaloID,FALSE,-116.160298,42.56869293
4075,HaloID,FALSE,-116.902637,43.92785325
4076,HaloID,FALSE,-116.71997,44.02938457
4077,HaloID,FALSE,-116.397258,44.06166829
4078,HaloID,FALSE,-116.399397,43.65251711
4079,HaloID,FALSE,-116.204186,43.33568542
4080,HaloID,FALSE,-116.905861,43.55738201
4081,HaloID,FALSE,-116.933253,43.73089699
4082,HaloID,FALSE,-116.688272,43.51136855
4083,HaloID,FALSE,-116.565761,43.50916766
4084,HaloID,FALSE,-116.670859,43.75114184
4085,HaloID,FALSE,-116.586949,43.63981583
4086,HaloID,FALSE,-116.678541,43.661473
4087,HaloID,FALSE,-116.53441,43.57519059
4088,HaloID,FALSE,-116.149596,43.6477998
4089,HaloID,FALSE,-116.254812,43.60924426
4090,HaloID,FALSE,-116.682949,44.48690565
4091,HaloID,FALSE,-116.453847,44.88968057
4092,HaloID,FALSE,-117.000369,44.37941137
4093,HaloID,FALSE,-116.702009,46.4191415
4094,HaloID,FALSE,-116.970472,46.38405852
4095,HaloID,FALSE,-117.05693,46.40704165
4096,HaloID,FALSE,-116.574941,46.58663738
4105,HaloWA,FALSE,-117.522999,46.90117425
4136,HaloID,FALSE,-115.566063,44.76670518
4137,HaloID,FALSE,-115.730199,43.98912848
4138,HaloID,FALSE,-115.469198,43.35386814
4140,HaloID,FALSE,-115.65687,46.67369479
4141,HaloID,FALSE,-116.711679,46.81612895
6001,Z6001ImportExport,TRUE,-123.33977,48.90702974
6002,Z6002ImportExport,TRUE,-112.663347,48.43445095
6003,Z6003ImportExport,TRUE,-112.422235,42.69599414
6004,Z6004ImportExport,TRUE,-125.307241,37.88340599
6005,Z6005ImportExport,TRUE,-126.628532,46.02333464
6006,Z6006ImportExport,TRUE,-116.829756,39.93767708
