Activity,ActivityType,LocationDispersionParameter,SizeTermCoefficient,ProductionSubstitutionNesting,InertiaTermCoefficient,InertiaTermConstant,ImporterExporter,Units,FSC Unconstrained,ConstInExchangeSize
sctg36_mit_tran_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg37_mit_inst_transp_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg38_mit_inst_prec_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg39_oth_furn_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg40_oth_misc_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg41_waste_scrap_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
energy_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
retail_trade_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
transport_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
wholesale_trade_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
construction_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
communications_and_utilities_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
accommodations_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
personal_and_other_services_and_amusements_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
entertainment_services_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
food_services_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
higher_education_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
health_services_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
fire_business_and_professional_services_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
government_administration_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
education_reports_to_sponsors_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
