year,activity,employment,output
2017,HOSP_eat_ret_acc,236599,15359794498
2017,INFO_info_off,50594,0
2017,INFO_info_off_li,10335,17900756017
2017,K12_k12_k12,164839,14682136488
2017,K12_k12_off,56338,0
2017,MFG_food_hi,16126,13415456334
2017,MFG_food_li,16261,13415456334
2017,MFG_htec_hi,4162,20632888315
2017,MFG_htec_li,3819,20632888315
2017,MFG_hvtw_hi,25109,19972584919
2017,MFG_hvtw_li,25325,19972584919
2017,MFG_lvtw_hi,12516,16302017309
2017,MFG_offc_off,164414,0
2017,MFG_wdppr_hi,31981,12956894821
2017,RES_agmin_ag,97178,22332110225
2017,RES_forst_log,9204,2925116398
2017,RES_offc_off,62229,0
2017,RET_auto_ret,105044,9566238390
2017,RET_nstor_off,50600,2830560119
2017,RET_stor_off,61824,0
2017,RET_stor_ret,249134,21013274975
2017,SERV_bus_off,240047,18634966780
2017,SERV_home_xxx,58063,563998569
2017,SERV_nonp_off_inst,150619,11570682287
2017,SERV_site_li,85199,6846090528
2017,SERV_stor_ret,89525,6273478757
2017,SERV_tech_off,276523,29201274222
2017,TRNS_trns_off,53837,0
2017,TRNS_trns_ware,79112,17577103097
2017,UTL_othr_off,16776,0
2017,UTL_othr_off_li,20226,9981556533
2017,WHSL_offc_off,31153,0
2017,WHSL_whsl_ware,96938,25487854272
2018,CNST_main_xxx,28879,4353325069
2018,CNST_nres_xxx,51640,7102006776
2018,CNST_offc_off,91455,0
2018,CNST_othr_xxx,62852,9474105237
2018,CNST_res_xxx,34687,9354690529
2018,ENGY_elec_hi,5103,12127514635
2018,ENGY_ngas_hi,934,5435934871
2018,ENGY_offc_off,26609,0
2018,ENGY_ptrl_hi,9756,6143305681
2018,ENT_ent_ret,84151,4649486505
2018,FIRE_fnin_off,153806,39338840127
2018,FIRE_real_off,146633,18404431247
2018,GOV_admn_gov,101926,22116637758
2018,GOV_offc_off,162622,0
2018,HIED_hied_off_inst,82487,5732148810
2018,HLTH_care_inst,83909,5178679433
2018,HLTH_hosp_hosp,108923,16521240364
2018,HLTH_othr_off_li,185428,24373290726
2018,HOSP_acc_acc,38158,4429560494
2018,HOSP_eat_ret_acc,236379,15690891868
2018,INFO_info_off,51379,0
2018,INFO_info_off_li,10496,18326582680
2018,K12_k12_k12,165653,15148514761
2018,K12_k12_off,56616,0
2018,MFG_food_hi,16247,13650832831
2018,MFG_food_li,16382,13650832831
2018,MFG_htec_hi,4291,22333381074
2018,MFG_htec_li,3938,22333381074
2018,MFG_hvtw_hi,25350,20789091378
2018,MFG_hvtw_li,25568,20789091378
2018,MFG_lvtw_hi,12671,16694875714
2018,MFG_offc_off,166728,0
2018,MFG_wdppr_hi,31791,13081672577
2018,RES_agmin_ag,95490,22931370840
2018,RES_forst_log,9076,2999856993
2018,RES_offc_off,61165,0
2018,RET_auto_ret,105037,9917039654
2018,RET_nstor_off,50995,2906702332
2018,RET_stor_off,62234,0
2018,RET_stor_ret,250786,21622431767
2018,SERV_bus_off,247868,19234413653
2018,SERV_home_xxx,58317,580606562
2018,SERV_nonp_off_inst,152822,11913083846
2018,SERV_site_li,87414,6986160060
2018,SERV_stor_ret,90596,6449476575
2018,SERV_tech_off,281858,30061004301
2018,TRNS_trns_off,54741,0
2018,TRNS_trns_ware,80440,17987181711
2018,UTL_othr_off,17067,0
2018,UTL_othr_off_li,20577,10208916230
2018,WHSL_offc_off,31500,0
2018,WHSL_whsl_ware,98016,26195930818
2019,CNST_main_xxx,29331,4407476062
2019,CNST_nres_xxx,52449,7203568145
2019,CNST_offc_off,92886,0
2019,CNST_othr_xxx,63835,9609605441
2019,CNST_res_xxx,35230,9440942256
2019,ENGY_elec_hi,5094,12540109139
2019,ENGY_ngas_hi,935,5637230392
2019,ENGY_offc_off,26744,0
2019,ENGY_ptrl_hi,9834,6321180484
2019,ENT_ent_ret,84059,4758583958
2019,FIRE_fnin_off,153880,40316785081
2019,FIRE_real_off,146789,18879530989
2019,GOV_admn_gov,102496,22516916097
2019,GOV_offc_off,163531,0
2019,HIED_hied_off_inst,82842,5933900382
2019,HLTH_care_inst,85650,5371759864
2019,HLTH_hosp_hosp,111135,17129991464
2019,HLTH_othr_off_li,189157,25268437632
2019,HOSP_acc_acc,38135,4522035786
2019,HOSP_eat_ret_acc,236353,16027019532
2019,INFO_info_off,51877,0
2019,INFO_info_off_li,10597,18752437524
2019,K12_k12_k12,166099,15649067542
2019,K12_k12_off,56769,0
2019,MFG_food_hi,16298,13964465902
2019,MFG_food_li,16435,13964465902
2019,MFG_htec_hi,4377,23880247007
2019,MFG_htec_li,4017,23880247007
2019,MFG_hvtw_hi,25496,21610487590
2019,MFG_hvtw_li,25716,21610487590
2019,MFG_lvtw_hi,12731,17036007107
2019,MFG_offc_off,168199,0
2019,MFG_wdppr_hi,31773,13286513852
2019,RES_agmin_ag,94174,23497892691
2019,RES_forst_log,8985,3058602329
2019,RES_offc_off,60340,0
2019,RET_auto_ret,104895,10248825880
2019,RET_nstor_off,51102,2981730954
2019,RET_stor_off,62337,0
2019,RET_stor_ret,251201,22198509524
2019,SERV_bus_off,255487,19881999393
2019,SERV_home_xxx,58489,597979185
2019,SERV_nonp_off_inst,154800,12276173523
2019,SERV_site_li,89609,7136667762
2019,SERV_stor_ret,91505,6632408101
2019,SERV_tech_off,288963,30698672890
2019,TRNS_trns_off,55150,0
2019,TRNS_trns_ware,81041,18438465502
2019,UTL_othr_off,17350,0
2019,UTL_othr_off_li,20919,10441771738
2019,WHSL_offc_off,31749,0
2019,WHSL_whsl_ware,98793,26948130240
2020,CNST_main_xxx,29811,4461484834
2020,CNST_nres_xxx,53307,7298672244
2020,CNST_offc_off,94406,0
2020,CNST_othr_xxx,64880,9736459493
2020,CNST_res_xxx,35806,9541051178
2020,ENGY_elec_hi,5077,13039263896
2020,ENGY_ngas_hi,931,5853834880
2020,ENGY_offc_off,26828,0
2020,ENGY_ptrl_hi,9896,6510407577
2020,ENT_ent_ret,83952,4866647853
2020,FIRE_fnin_off,154203,41145013931
2020,FIRE_real_off,146796,19354270715
2020,GOV_admn_gov,104304,22860144721
2020,GOV_offc_off,166414,0
2020,HIED_hied_off_inst,83353,6127801656
2020,HLTH_care_inst,87190,5574104765
2020,HLTH_hosp_hosp,113079,17766573400
2020,HLTH_othr_off_li,192421,26203943799
2020,HOSP_acc_acc,38086,4620038242
2020,HOSP_eat_ret_acc,236124,16379859309
2020,INFO_info_off,52254,0
2020,INFO_info_off_li,10674,19255586125
2020,K12_k12_k12,166884,16131108061
2020,K12_k12_off,57037,0
2020,MFG_food_hi,16340,14328919716
2020,MFG_food_li,16476,14328919716
2020,MFG_htec_hi,4445,25395608921
2020,MFG_htec_li,4079,25395608921
2020,MFG_hvtw_hi,25520,22387275202
2020,MFG_hvtw_li,25739,22387275202
2020,MFG_lvtw_hi,12730,17366004116
2020,MFG_offc_off,169038,0
2020,MFG_wdppr_hi,31708,13501087610
2020,RES_agmin_ag,93164,24032000828
2020,RES_forst_log,8892,3124511695
2020,RES_offc_off,59694,0
2020,RET_auto_ret,104695,10559118062
2020,RET_nstor_off,50989,3054852732
2020,RET_stor_off,62195,0
2020,RET_stor_ret,250628,22748861532
2020,SERV_bus_off,262666,20689305345
2020,SERV_home_xxx,58735,615633039
2020,SERV_nonp_off_inst,156657,12649182929
2020,SERV_site_li,91824,7301907116
2020,SERV_stor_ret,92372,6820966461
2020,SERV_tech_off,297930,31140407334
2020,TRNS_trns_off,55410,0
2020,TRNS_trns_ware,81423,18902119778
2020,UTL_othr_off,17633,0
2020,UTL_othr_off_li,21260,10749041160
2020,WHSL_offc_off,31938,0
2020,WHSL_whsl_ware,99382,27745841339
2021,CNST_main_xxx,30272,4495262229
2021,CNST_nres_xxx,54131,7375067139
2021,CNST_offc_off,95866,0
2021,CNST_othr_xxx,65883,9838434679
2021,CNST_res_xxx,36360,9565164800
2021,ENGY_elec_hi,5024,13508943354
2021,ENGY_ngas_hi,924,6087592475
2021,ENGY_offc_off,26849,0
2021,ENGY_ptrl_hi,9953,6700575537
2021,ENT_ent_ret,83828,4972920248
2021,FIRE_fnin_off,154385,42068121565
2021,FIRE_real_off,146790,19853180441
2021,GOV_admn_gov,103766,23193637198
2021,GOV_offc_off,165557,0
2021,HIED_hied_off_inst,84044,6305249772
2021,HLTH_care_inst,88816,5811802117
2021,HLTH_hosp_hosp,115117,18512888264
2021,HLTH_othr_off_li,195834,27300100284
2021,HOSP_acc_acc,38033,4716707201
2021,HOSP_eat_ret_acc,235848,16726535805
2021,INFO_info_off,52759,0
2021,INFO_info_off_li,10778,19781541912
2021,K12_k12_k12,168112,16578191579
2021,K12_k12_off,57457,0
2021,MFG_food_hi,16397,14671667824
2021,MFG_food_li,16534,14671667824
2021,MFG_htec_hi,4478,26753747657
2021,MFG_htec_li,4110,26753747657
2021,MFG_hvtw_hi,25610,23165110577
2021,MFG_hvtw_li,25831,23165110577
2021,MFG_lvtw_hi,12733,17717261403
2021,MFG_offc_off,169645,0
2021,MFG_wdppr_hi,31503,13622914756
2021,RES_agmin_ag,92242,24633273197
2021,RES_forst_log,8817,3199800814
2021,RES_offc_off,59111,0
2021,RET_auto_ret,104383,10882025159
2021,RET_nstor_off,50846,3130946192
2021,RET_stor_off,62010,0
2021,RET_stor_ret,249886,23327406634
2021,SERV_bus_off,268991,21614433729
2021,SERV_home_xxx,58989,632001079
2021,SERV_nonp_off_inst,158585,13002904380
2021,SERV_site_li,93961,7465082742
2021,SERV_stor_ret,93285,7003663494
2021,SERV_tech_off,307790,31394016060
2021,TRNS_trns_off,55536,0
2021,TRNS_trns_ware,81609,19329836162
2021,UTL_othr_off,17815,0
2021,UTL_othr_off_li,21479,11016632843
2021,WHSL_offc_off,32109,0
2021,WHSL_whsl_ware,99912,28545987361
2022,CNST_main_xxx,30585,4529452580
2022,CNST_nres_xxx,54691,7427126437
2022,CNST_offc_off,96858,0
2022,CNST_othr_xxx,66565,9907882453
2022,CNST_res_xxx,36736,9647109358
