year,trade_activity,dollars
2013,sctg40_oth_misc_expt,2007033497
2013,sctg40_oth_misc_impt,5079292899
2013,sctg41_waste_scrap_expt,544813221
2013,sctg41_waste_scrap_impt,541685869
2013,transport_expt,3433590139
2013,transport_impt,3357292387
2013,wholesale trade_expt,3548621467
2013,wholesale trade_impt,2231685980
2014,accommodations_expt,3700731529
2014,accommodations_impt,2756335753
2014,communications and utilities_expt,6218318644
2014,communications and utilities_impt,8664938765
2014,construction_expt,11041744214
2014,construction_impt,13420372614
2014,education reports to sponsors_expt,117339542
2014,education reports to sponsors_impt,39888336
2014,energy_expt,3798096920
2014,energy_impt,1268079294
2014,entertainment services_expt,468689477
2014,entertainment services_impt,1190253542
2014,fire business and professional services_expt,9367409391
2014,fire business and professional services_impt,32766912625
2014,food services_expt,822448501
2014,food services_impt,359519027
2014,government administration_expt,3943898194
2014,government administration_impt,3798204715
2014,health services_expt,7204598567
2014,health services_impt,1310419087
2014,higher education_expt,1008574482
2014,higher education_impt,890076706
2014,personal and other services and amusements_expt,5478721640
2014,personal and other services and amusements_impt,1873526343
2014,retail trade_expt,4633935464
2014,retail trade_impt,2134279668
2014,sctg01_fkp_lvsk_expt,492738250
2014,sctg01_fkp_lvsk_impt,301947382
2014,sctg02_fkp_agri_cereal_expt,585580216
2014,sctg02_fkp_agri_cereal_impt,691540695
2014,sctg03_fkp_agri_other_expt,8132990195
2014,sctg03_fkp_agri_other_impt,1259207275
2014,sctg04_fkp_feed_expt,188322069
2014,sctg04_fkp_feed_impt,845180439
2014,sctg05_fkp_food_meat_expt,2327772971
2014,sctg05_fkp_food_meat_impt,3228578895
2014,sctg06_fkp_agri_grain_expt,875065557
2014,sctg06_fkp_agri_grain_impt,937730361
2014,sctg07_fkp_food_prep_expt,10811477963
2014,sctg07_fkp_food_prep_impt,5904355749
2014,sctg08_fkp_food_alc_expt,1427275148
2014,sctg08_fkp_food_alc_impt,1542063340
2014,sctg10_cms_clay_expt,123312519
2014,sctg10_cms_clay_impt,79529263
2014,sctg11_cms_sand_expt,210025213
2014,sctg11_cms_sand_impt,19826622
2014,sctg13_cms_mine_nonmet_expt,43835467
2014,sctg13_cms_mine_nonmet_impt,164332522
2014,sctg14_cms_mine_met_expt,1552402236
2014,sctg14_cms_mine_met_impt,598309687
2014,sctg15_pcc_coal_expt,40100992
2014,sctg15_pcc_coal_impt,849437634
2014,sctg16_pcc_petr_crude_expt,289839317
2014,sctg16_pcc_petr_crude_impt,1964530120
2014,sctg17_pcc_fuel_expt,25808560
2014,sctg17_pcc_fuel_impt,6229676933
2014,sctg18_pcc_petr_oil_expt,12904280
2014,sctg18_pcc_petr_oil_impt,3114838466
2014,sctg19_pcc_coal_prod_expt,233028283
2014,sctg19_pcc_coal_prod_impt,4548449563
2014,sctg20_pcc_chem_basic_expt,1270276945
2014,sctg20_pcc_chem_basic_impt,2202057600
2014,sctg21_pcc_chem_pharma_expt,867651526
2014,sctg21_pcc_chem_pharma_impt,6759904629
2014,sctg22_pcc_chem_fert_expt,199304688
2014,sctg22_pcc_chem_fert_impt,458019436
2014,sctg23_pcc_chem_prod_expt,1140863915
2014,sctg23_pcc_chem_prod_impt,3708283118
2014,sctg24_pcc_petr_plast_expt,2354936671
2014,sctg24_pcc_petr_plast_impt,5058170308
2014,sctg25_fwp_logs_expt,1195179258
2014,sctg25_fwp_logs_impt,358582274
2014,sctg26_fwp_wood_expt,4826007240
2014,sctg26_fwp_wood_impt,686495164
2014,sctg27_ppp_papr_puplp_expt,4484463163
2014,sctg27_ppp_papr_puplp_impt,924567429
2014,sctg28_ppp_papr_paper_expt,840138781
2014,sctg28_ppp_papr_paper_impt,1398335741
2014,sctg29_ppp_papr_print_expt,1081791411
2014,sctg29_ppp_papr_print_impt,1868468572
2014,sctg30_oth_clth_expt,585003299
2014,sctg30_oth_clth_impt,3785700197
2014,sctg31_cms_min_expt,1014461608
2014,sctg31_cms_min_impt,1507361566
2014,sctg32_mit_metl_base_expt,3721271933
2014,sctg32_mit_metl_base_impt,4406970026
2014,sctg33_mit_metl_prod_expt,3004190069
2014,sctg33_mit_metl_prod_impt,3095174193
2014,sctg34_mit_mach_expt,5888823989
2014,sctg34_mit_mach_impt,8303487406
2014,sctg35_mit_elct_expt,28299778848
2014,sctg35_mit_elct_impt,13036630289
2014,sctg36_mit_tran_expt,4444761690
2014,sctg36_mit_tran_impt,7864796180
2014,sctg37_mit_inst_transp_expt,3009576095
2014,sctg37_mit_inst_transp_impt,2323585690
2014,sctg38_mit_inst_prec_expt,2669699142
2014,sctg38_mit_inst_prec_impt,3443462930
2014,sctg39_oth_furn_expt,1312575533
