"","FLR_Accommodation","FLR_Agriculture","FLR_AT","FLR_Government_Support","FLR_Heavy_Industry","FLR_Hospital","FLR_Institutional","FLR_K12","FLR_Light_Industry","FLR_Logging","FLR_MF","FLR_MH","FLR_Office","FLR_Retail","FLR_RRMH","FLR_RRSFD","FLR_SFD","FLR_Warehouse"
"2769",64829.2044273,0,255014.089053,20954.3723223,5669.79955243,0,69662.9622801,779783.227548,81761.124421,0,81819.4308326,1408.55254866,138880.518028,228395.390032,0,64528.9248982,328880.264587,96612.3495389
"2770",100597.041352,0,160207.786648,0,7289.74228166,0,22383.2165515,0,12689.6958674,0,97813.3306177,10123.8654115,64331.4265022,568863.726058,0,34699.6067583,176851.169751,1582.9032764
"2771",47943.2086152,0,42503.0787273,0,0,0,6301.69929884,0,2212.96037087,0,221364.077495,0,9661.36552464,34999.686488,0,28345.1868708,144465.02202,0
"2772",0,0,130307.186134,0,0,107987.094034,32794.3045645,0,102711.496372,63216873.58,163979.497136,6900.44844803,10846.4313064,10541.4234228,119.614568144,217181.366472,968750.900923,1420.9921732
"2773",11365.5813421,0,244947.178322,0,0,0,2499.12815575,0,16701.9839354,0,65304.0290464,17543.6320538,12361.2625482,33925.4315307,119.614568144,89606.3558157,399701.095945,0
"2774",1566.44681614,0,77556.4152794,0,0,0,314.16798772,0,775.856741928,997512.6971,10854.9178388,0,4656.81438,894.558731483,119.614568144,109716.639829,489344.091777,0
"2775",0,0,98675.4715717,0,0,0,0,0,417.769014885,17204147.26,0,19186.2321518,3884.79707403,0,119.614568144,123744.06354,551944.939314,0
"2776",686.742468968,0,56004.9463504,0,0,0,313.101516421,0,1054.73830621,0,922.589396588,16477.0881935,5175.27113547,434.937624486,0,83763.8314911,426913.529181,0
"2777",0,0,711.011419862,0,0,0,9110.87164394,0,0,37417823.16,16909.9560636,102.161248294,4740.68046952,9026.54285614,119.614568144,169541.800431,756120.345449,0
"2778",3348.12723314,5273887.355,48157.522052,0,0,0,1343.60078749,0,1887.87455937,0,272769.438193,395.803386672,14548.3388983,0,0,182242.927291,1164838.5541,0
"2779",0,0,0,0,2975.36863576,0,0,0,1791.64342199,2158280000,0,2313.19191432,4777.13740659,1603.24059753,16916.7842756,671297.857496,81768.3065153,0
"2780",0,361298194.9,11272.5507859,0,0,0,0,0,744.221113745,3355601488,379.474401583,7366.31830548,3246.21955516,0,53717.252414,821995.418159,100966.219324,0
"2781",0,0,0,0,3967.15818103,0,0,0,7031.15181049,555949417.6,215.865439348,4625.07438909,1287.14112349,0,33819.8217154,449747.402736,54993.9664875,0
