zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2786,0,2887850.2,1343983.8,999150.6,1128419.5,1007121.7,1078237.0,604043.8,1166904.9,779060.8,876070.56,1684968.1,1669399.5,1835259.4
2787,0,9756087.0,6069048.5,3364105.0,4298412.0,3432523.8,3911517.8,2143238.8,3712789.8,2703440.5,2661511.5,4278445.5,4576416.5,4693081.0
2788,0,1.0791827E7,6670886.5,3641968.8,4840492.5,3646802.8,4265577.5,2285812.5,3928270.0,2775050.2,2812221.2,4548610.0,4874932.0,4859983.0
2789,0,5284380.0,2587667.0,1778466.6,2124906.8,1903487.5,2049063.5,1120127.5,2105092.0,1517463.6,1541167.9,2860936.8,2855516.2,3331884.2
2790,0,2245124.5,1406101.6,808641.06,958624.1,869597.25,934241.1,544069.4,953863.2,760632.9,680415.44,1055965.1,1129361.5,1265508.1
2791,0,6675782.5,4158585.8,2322250.0,2922333.8,2396331.5,2697107.8,1496831.5,2599829.0,1931420.8,1861940.9,2971056.2,3178493.0,3321267.5
2792,0,4340210.5,2698109.5,1489714.4,1918721.9,1510009.0,1732805.5,942510.94,1630561.5,1172315.0,1169970.6,1888803.1,2019612.8,2048613.8
2793,0,3004608.5,1869023.4,1036123.6,1323859.8,1057785.2,1204854.2,660573.56,1144232.4,834732.56,819843.94,1317417.6,1409441.8,1446913.4
2794,0,2457571.8,1538492.8,884598.1,1050386.1,953436.3,1022962.44,597039.75,1045875.6,840614.0,743990.4,1152901.2,1234645.8,1388919.0
2795,0,1909144.6,1001592.6,676885.06,727632.25,761410.2,778676.3,463219.22,850253.44,663057.8,660502.5,1130845.1,1151933.6,1399883.5
2796,0,3480011.2,1826158.6,1234431.6,1325203.5,1388364.1,1419867.9,844567.1,1550392.0,1207552.4,1204958.2,2064017.9,2102305.2,2551592.8
2797,0,3766689.2,1976231.8,1333373.6,1437874.9,1495058.4,1533457.9,909425.9,1668964.4,1294388.2,1296665.5,2224881.5,2266168.2,2738333.5
2798,0,2184869.8,1146808.4,780057.6,825638.94,887591.2,898242.0,540139.0,992310.5,786340.75,771443.3,1312445.9,1337349.5,1651686.9
2799,0,2521012.5,1322600.6,893860.2,960785.9,1005545.25,1028283.9,611744.44,1122882.9,875745.0,872294.7,1493398.5,1521248.1,1848870.4
2800,0,5824155.0,3208765.2,2278182.8,3094224.0,2094137.5,2043567.0,1344215.5,2309728.5,1671325.5,1700723.9,2911002.2,3424884.2,2918180.5
2801,0,3914141.5,2151310.0,1504763.1,2110867.5,1353335.1,1350911.5,867737.3,1482190.2,1035773.9,1093949.6,1900476.8,2236933.0,1839946.1
2802,0,2548277.2,1400593.6,980057.75,1373923.0,882186.2,879920.8,565719.75,966404.2,676685.7,712986.2,1237913.9,1457218.0,1200381.4
2803,0,1732597.2,952952.8,671076.8,929304.8,609173.44,601974.75,390900.7,669264.9,476120.9,493058.34,850785.3,1001091.44,837534.8
2804,0,4074791.8,2241476.5,1576740.8,2186060.0,1428688.2,1414452.5,916393.4,1568777.9,1110116.6,1157102.8,1999490.0,2352389.5,1960346.5
