Commodity,Demand,InternalBought,Exports,Supply,InternalSold,Imports,RMSSurplus,AveragePrice
FLR Hospital,2.3337390825751066E7,2.334803463579877E7,-10643.810047705894,2.333739082575815E7,0.0,2.333739082575815E7,4.7145183193708486E-8,11.527264233350175
FLR Retail,2.4892726442825297E8,2.489482523285045E8,-20987.900251529165,2.4892726443925333E8,0.0,2.4892726443925333E8,4.790878345245948E-5,13.011522118828916
FLR Office,3.1167194535713893E8,3.117222178493765E8,-50272.49223754364,3.1167194535727286E8,0.0,3.1167194535727286E8,6.710503353748209E-7,14.213524008004848
FLR Heavy Industry,7.349613292554499E7,7.349900434748363E7,-2871.421938643858,7.349613292557172E7,0.0,7.349613292557172E7,1.2449284474619878E-7,7.41201599860313
FLR Light Industry,8.500858780338399E7,8.500198980985373E7,6597.9935302646845,8.500858780338107E7,0.0,8.500858780338107E7,1.2990179460144741E-8,6.0532638702228185
FLR Warehouse,2.45083499907873E8,2.451185470365763E8,-35047.12870329606,2.4508349990779427E8,0.0,2.4508349990779427E8,8.081056608512229E-7,9.52885958226
FLR Institutional,6.268124876719955E7,6.2718915822672166E7,-37667.05547261019,6.268124876713038E7,0.0,6.268124876713038E7,3.497919520287637E-7,15.404788918732182
FLR Accommodation,3.829579503856277E7,3.838601406395059E7,-90219.02538782652,3.829579503481584E7,0.0,3.829579503481584E7,1.798169624813287E-5,17.9453917370714
FLR Government Support,1.922349845606801E7,1.9263382150903944E7,-39883.69483593652,1.9223498456067782E7,0.0,1.9223498456067782E7,1.2914351440041879E-9,12.222851154216553
FLR K12,1.2254928316118224E8,1.2260489525261363E8,-55612.09143139237,1.225492831610528E8,0.0,1.225492831610528E8,7.84345780195257E-7,14.979695034417347
FLR SFD,2.4616103577842846E9,2.461588972463794E9,21385.320490581264,2.459644769467587E9,0.0,2.459644769467587E9,6911.84953748579,4.7744239861688555
FLR AT,2.2190192246660584E8,2.2186636130849573E8,35561.15811011207,2.221883929738265E8,0.0,2.221883929738265E8,1234.0788793503557,3.9620178045493724
FLR MH,1.7870176134049565E8,1.7870245809445658E8,-696.7539609330704,1.7879863877064377E8,0.0,1.7879863877064377E8,312.6098941481369,6.039930425285772
FLR RRMH,1.1486240422148651E8,1.148348563858204E8,27547.83566609823,1.1482641139400913E8,0.0,1.1482641139400913E8,154.38236027204005,4.42125505483063
FLR RRSFD,7.988979810332179E8,7.988524654413244E8,45515.5918935444,7.994704923109615E8,0.0,7.994704923109615E8,2308.0236344272575,3.3915369795545645
FLR MF,3.0478275190642506E8,3.047778767716397E8,4875.134785370554,3.051754910400603E8,0.0,3.051754910400603E8,1735.2909748081202,5.7206098332837465
