zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2980,0,4646858.0,2388422.5,2258820.8,1072045.8,1442740.8,1492092.1,756366.9,1584603.4,1755634.9,609546.9,4872616.0,1933320.2,3878770.5
2981,0,4160759.5,1892977.0,87203.52,440855.5,877101.3,1516665.0,2822996.2,1577570.5,3037248.0,686167.7,3188826.0,793063.25,3442474.5
2982,0,3930762.5,2354934.8,2461393.5,994918.56,1372251.0,1298357.1,252559.98,1394037.1,486814.38,1790271.9,6845421.0,3.352592E7,5074549.0
2983,0,3.0073752E7,1.66322E7,5165989.5,8372860.5,8750251.0,9609160.0,4013467.5,1.0733118E7,8069949.0,8700398.0,1.2212227E7,1.3516279E7,1.0026437E7
2984,0,1.0185136E7,6809296.0,1439672.2,3259933.5,3661719.0,3892766.5,849930.6,3637854.5,1356243.8,976271.0,2661354.0,680142.1,2010641.9
2985,0,4.5292872E7,2.6423548E7,2026851.6,5198207.5,9945652.0,1.4974637E7,4565831.5,1.5186154E7,7192015.0,3084293.5,6733728.0,3951584.2,6244496.0
2986,0,2.7906412E7,1.6489185E7,1330548.1,3764697.0,6377804.0,9140778.0,2000795.1,9377952.0,3808705.8,2148508.8,5349570.0,3026620.5,4782180.5
2987,0,7918495.5,3190602.5,42247.773,2262105.0,1873423.9,2356852.2,2296048.2,3161827.8,1931329.1,769573.6,2811543.8,1485198.6,3022178.5
2988,0,1222497.1,343545.47,13492.207,108982.71,236446.1,493339.97,1553755.4,530578.9,1551510.1,435168.06,741356.44,313335.5,1013967.7
2989,0,5616762.5,3208105.5,130643.98,865456.3,1467091.6,2078187.0,2088581.9,2010179.6,2619237.2,315858.62,1114760.0,491217.03,1280309.6
2990,0,2691569.8,1556135.9,542156.94,981768.94,1020133.75,891027.56,201612.16,1038765.44,380805.66,462466.7,2883814.5,533602.4,2866136.8
2991,0,1.5553546E7,7926321.0,583921.8,2192144.5,3651535.8,5553255.5,5627388.5,6053805.0,3704629.0,2139794.5,6572572.0,9798582.0,6744790.5
2992,0,1698730.9,1091255.4,523737.5,415142.3,729127.75,513937.88,161618.86,619242.94,403593.38,211717.88,2616475.2,290765.2,2684625.0
2993,0,5.7969468E7,3.2552208E7,8.6835672E7,8047403.0,2.4202452E7,1.8771638E7,1.0276643E7,1.9870308E7,1.6312753E7,7159918.5,1.4696287E7,2.3212264E7,1.5683591E7
2994,0,5185881.5,2228466.5,1571675.5,5820712.0,3096744.5,1595021.5,1379849.9,2653558.8,1193817.6,1358311.2,2918521.0,893289.06,3182866.0
2995,0,2.5186294E7,1.3907932E7,2.1142626E7,9.3494024E7,3.5348852E7,6134532.0,583891.9,1.7486008E7,3880523.2,6462930.5,1.0116366E7,9011496.0,1.1128392E7
2996,0,841377.6,487567.4,394298.03,87818.02,279390.0,279992.16,172915.83,305651.75,179891.19,123176.44,2524977.8,251428.34,2576348.5
2997,0,245239.72,168757.69,2713564.5,120595.43,481264.62,68638.25,5196.7446,94792.1,84460.37,162172.55,2574059.5,295011.88,2683288.8
2998,0,2.3797276E7,1.0281541E7,803691.06,3.6374936E7,1.7815516E7,7588952.5,1.2320681E7,1.3980185E7,9494591.0,4750590.0,8641714.0,4915231.0,8608496.0
2999,0,1.2208401E7,5398944.0,1209306.2,1.0544771E7,5936118.5,3694323.5,1915915.8,5666251.5,2022048.5,3014109.8,4688342.0,6198911.5,5092496.0
3000,0,524572.5,215905.98,4282.623,63156.32,126716.03,164583.55,353760.03,217326.78,319580.88,93553.88,1795180.9,188638.69,1854230.9
3001,0,9054967.0,2631604.5,612846.56,1863299.9,1911893.9,2066810.9,1962976.9,2595643.0,3654283.8,458364.8,1816278.1,907942.8,2056608.2
3002,0,1648860.5,454868.56,9258.95,89025.07,203059.1,345915.22,87463.695,390609.03,210720.03,42721.12,618824.6,132050.86,650572.0
3003,0,399732.28,72827.39,951340.06,44160.035,173484.62,80739.92,90159.79,105008.95,313146.53,44868.336,691544.06,128723.086,918568.0
3004,0,5076354.0,2756046.2,82619.63,794871.4,1302387.4,2050964.8,2056749.4,1843276.1,1956079.4,2645495.5,1917573.2,1348678.6,2586776.2
3005,0,711076.8,615799.94,37131.336,135264.12,288185.22,222954.84,26823.797,263124.47,240342.5,391852.5,461720.56,130578.03,575254.75
3006,0,3912554.8,1578326.1,821347.5,356325.6,824292.06,1606550.0,2262286.2,1382403.1,2200876.8,1223043.0,1435786.1,2132399.2,1849001.8
3007,0,497555.25,235116.94,4988.912,61167.348,101542.35,170033.97,19525.875,149429.77,218620.98,201982.92,378373.38,88439.62,454821.66
3008,0,4075154.0,2543776.2,139239.25,626983.7,1315391.4,1404857.1,953315.6,1387984.2,1914695.8,165057.11,760512.5,828747.25,907598.75
3009,0,7719411.0,4142112.2,239017.7,800681.94,2285912.2,3201207.5,8990563.0,3481428.0,7310258.0,466152.62,1896926.6,1150487.1,2860283.2
3010,0,2266822.0,1559830.9,1346648.5,493244.72,898680.94,859865.1,163225.73,770864.7,373966.2,120580.766,576674.56,161798.45,528959.75
3011,0,433377.03,310477.53,52392.64,113491.99,170204.1,158940.67,4912.593,147551.02,168725.77,31569.385,274441.94,36051.97,283457.8
3012,0,676231.44,305118.47,2719562.2,37369.863,479577.97,387920.38,247392.0,234148.0,176324.97,391346.6,2649686.5,2129717.5,7604517.5
3013,0,1.2970557E7,4655481.5,4228343.5,1174278.5,2587651.0,8039509.0,1434525.4,4075907.5,2446570.2,1.7571564E7,2.2903474E7,1.5817244E7,2.2991458E7
3014,0,18989.754,20076.723,9645.788,3443.9434,10767.863,42559.457,844.2872,12646.833,13728.027,18568.021,171879.36,100492.98,450022.88
3015,0,79945.97,23685.076,1801.7333,4699.1333,5906.035,26927.486,2509.8997,35366.156,10695.582,83158.016,784245.8,311278.9,2319554.0
3016,0,760614.8,263828.25,1858977.0,39063.812,322848.28,331059.75,100802.086,316953.7,334156.72,306453.4,2095204.2,2167408.2,5610121.5
3017,0,3331802.8,2148828.8,1518255.2,1179417.4,1368784.9,1153393.2,1260966.0,1570679.1,1119022.5,2974014.2,3781455.2,2452745.0,4599531.5
3018,0,109917.3,25183.674,867.37695,75773.73,38274.297,30861.148,76314.89,55625.55,113030.664,310709.94,893590.94,1249790.6,2058780.6
3019,0,255669.75,157188.2,5752.854,17939.246,55130.06,86425.5,6643.8853,99278.33,23667.824,409714.78,1627236.4,9368795.0,2544593.5
3020,0,3007785.8,1389757.2,120993.336,214940.64,550694.5,1.2939833E7,280399.53,2596438.2,1541176.5,4404375.0,1.0389499E7,4.6694464E7,1.0724316E7
3021,0,6385396.5,3048341.0,63368.496,360006.28,969577.9,2696755.8,585404.5,2230940.2,570086.1,2180373.5,3684952.5,2392626.0,5590441.5
3022,0,62701.137,38911.72,66408.59,16480.531,40557.293,51432.0,1887.5964,25392.238,25245.014,287541.06,667109.3,1025494.3,1828288.6
3023,0,2946528.2,1250767.4,4617895.0,160721.34,1108637.6,1524518.1,1520215.1,1175401.2,1004257.3,895775.2,2856852.5,3643828.5,2784476.8
3024,0,1169027.0,505326.66,2055926.6,245639.77,708271.4,4248744.0,829606.7,968984.56,989713.2,929824.5,2712516.5,2814981.0,3225398.5
3025,0,9930655.0,4296262.5,9423.958,854160.4,1618553.9,2939385.5,164840.83,4047671.0,611227.7,1.0460447E7,1.276226E7,1.9426868E7,1.8945728E7
3026,0,2893936.5,1295857.4,250669.64,215042.58,656099.7,377741.94,343266.53,1091687.5,489060.16,135397.75,438068.94,149482.9,515510.38
3027,0,5295800.0,2871880.0,1891954.5,2.0200642E7,7224838.5,1488053.0,202014.05,3711626.5,986908.56,2790379.2,4255600.5,867882.6,3588230.8
3028,0,7257172.5,3063566.5,83223.65,2225054.0,1712164.0,4271162.5,4761614.0,3224878.5,4403762.5,5395164.0,7456360.0,2403560.0,6621713.0
3029,0,1884193.9,1009962.6,111440.92,508806.72,555908.94,680730.5,272256.9,680323.56,419452.53,200228.95,855192.7,2690771.2,676025.2
3030,0,987136.44,466126.84,8676.954,82860.2,236326.69,121158.76,4227.61,362742.9,131407.55,14379.853,204465.25,21902.023,223574.62
3031,0,1282861.8,793261.2,261656.2,987525.1,859158.9,355057.38,271366.53,537602.7,594907.94,186519.62,755292.5,123275.22,596790.25
3032,0,2455654.2,895676.06,5851749.0,84448.85,1089552.6,951887.3,1422657.5,927995.94,965508.25,1046608.5,4101213.2,8375950.5,3924426.2
3033,0,2130331.5,422210.0,15379.277,251874.0,304756.7,1.1880124E7,5132409.0,2654147.2,4939561.0,1047097.56,3365171.5,6114909.0,4840554.0
3034,0,881714.0,211018.1,9545.535,100423.34,118005.016,274961.94,708916.4,319977.97,1136089.5,63443.52,477670.88,159736.19,585988.0
3035,0,8230007.0,3870476.0,5006867.0,1465624.8,2319972.8,2755134.5,3517108.8,3064577.5,3174157.5,896276.44,3188473.0,1.4311716E7,2617073.2
3036,0,2537179.2,1364635.5,3541101.2,224069.42,945317.94,830871.2,60813.64,814320.1,224921.34,82067.6,575053.06,1090332.1,631853.75
3037,0,6284679.0,2074914.9,547296.9,241688.94,826315.06,2038697.6,2150654.0,2145809.5,1780153.5,2827390.0,6687168.0,1.652236E7,6458547.0
3038,0,8038.3203,2647.5613,632.5394,317.52805,1084.1608,6370.128,170.21469,5645.276,426.33267,2124601.5,2076382.0,1147570.5,7603410.0
3039,0,462375.03,177817.81,2586093.0,86378.766,396275.8,69257.25,26281.957,185521.88,91224.89,125100.67,739082.75,825126.94,2340739.5
3040,0,498799.84,241567.72,1600821.6,57655.164,309231.66,503989.9,29884.676,316322.34,221235.7,226882.33,329019.8,855282.9,630993.44
3041,0,4807120.0,1291251.2,45594.246,152968.69,436008.97,899223.3,1019323.25,1417806.9,682734.25,331197.44,2148050.2,867646.06,3304733.5
3042,0,2425271.8,768467.44,2218503.0,370463.2,642822.1,479728.75,129577.53,838395.3,579633.8,450087.75,3317862.8,1418528.9,9088973.0
3043,0,45384.332,23460.537,992.77686,2898.981,10289.392,11195.349,411.1552,14515.199,57964.53,6309.2764,76716.125,20324.889,170375.39
3044,0,855733.2,341122.6,22447.562,102458.28,180261.5,218023.2,45176.797,285781.5,149463.89,15919.493,101565.164,89494.56,142177.9
