Commodity,BuyingSelling,BandNumber,LowerBound,Quantity,AverageLength
SCTG13_CMS_MINE_nonmet,selling,7,400.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,8,500.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,9,1000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,10,2000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,11,4000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,12,10000.0,0.0,0.0
SCTG13_CMS_MINE_nonmet,selling,13,20000.0,0.0,0.0
SCTG14_CMS_MINE_met,buying,0,0.0,2387841.859274864,3.6660658104402977
SCTG14_CMS_MINE_met,buying,1,5.0,7952454.981427789,7.974835099043443
SCTG14_CMS_MINE_met,buying,2,10.0,1.046059881527941E8,30.28781607415447
SCTG14_CMS_MINE_met,buying,3,50.0,8.076181389632995E7,72.6090746262136
SCTG14_CMS_MINE_met,buying,4,100.0,6.947449498782612E7,140.0864209176589
SCTG14_CMS_MINE_met,buying,5,200.0,2.6414984072369255E7,243.43741626351311
SCTG14_CMS_MINE_met,buying,6,300.0,9512916.97698889,338.99245700248576
SCTG14_CMS_MINE_met,buying,7,400.0,3277318.9750853903,441.7597811045884
SCTG14_CMS_MINE_met,buying,8,500.0,1001216.6487086889,553.6547134978281
SCTG14_CMS_MINE_met,buying,9,1000.0,0.0,0.0
SCTG14_CMS_MINE_met,buying,10,2000.0,0.0,0.0
SCTG14_CMS_MINE_met,buying,11,4000.0,0.0,0.0
SCTG14_CMS_MINE_met,buying,12,10000.0,0.0,0.0
SCTG14_CMS_MINE_met,buying,13,20000.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,0,0.0,4.57186732046875E8,3.251028340180003
SCTG14_CMS_MINE_met,selling,1,5.0,5.933959113798828E8,7.60774998452447
SCTG14_CMS_MINE_met,selling,2,10.0,4.829078578955078E8,17.205884049929622
SCTG14_CMS_MINE_met,selling,3,50.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,4,100.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,5,200.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,6,300.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,7,400.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,8,500.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,9,1000.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,10,2000.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,11,4000.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,12,10000.0,0.0,0.0
SCTG14_CMS_MINE_met,selling,13,20000.0,0.0,0.0
SCTG15_PCC_COAL,buying,0,0.0,457720.7750456631,3.479090121812912
SCTG15_PCC_COAL,buying,1,5.0,1190452.4325591736,7.87419313646542
SCTG15_PCC_COAL,buying,2,10.0,1.0606872596060794E7,30.749408362783615
SCTG15_PCC_COAL,buying,3,50.0,1.1367939816681711E7,75.9872139012336
SCTG15_PCC_COAL,buying,4,100.0,1.29254717464883E7,141.09283694980036
SCTG15_PCC_COAL,buying,5,200.0,6949600.44021043,244.21615251446897
SCTG15_PCC_COAL,buying,6,300.0,3083178.24259712,340.62665961596167
SCTG15_PCC_COAL,buying,7,400.0,1031715.0154430999,442.7170424359195
SCTG15_PCC_COAL,buying,8,500.0,443611.68307198345,557.5835976309008
