Azone,CNST_offc_off,RET_stor_off,SERV_site_li,ENGY_offc_off,MFG_food_hi,FIRE_real_off,SERV_bus_off,HLTH_care_inst,CNST_res_xxx,MFG_hvtw_li,WHSL_offc_off,HOSP_acc_acc,SERV_stor_ret,UTL_othr_off_li,HOSP_eat_ret_acc,RET_auto_ret,MFG_lvtw_hi,FIRE_fnin_off,MFG_htec_hi,INFO_info_off,MFG_hvtw_hi,MFG_wdppr_hi,CNST_othr_xxx,K12_k12_off,ENGY_elec_hi,SERV_tech_off,CNST_main_xxx,GOV_offc_off,no_industry,MFG_htec_li,RES_offc_off,TRNS_trns_off,RES_agmin_ag,K12_k12_k12,CNST_nres_xxx,ENT_ent_ret,GOV_admn_gov,HLTH_othr_off_li,MFG_offc_off,ENGY_ngas_hi,HLTH_hosp_hosp,RES_forst_log,HIED_hied_off_inst,MFG_food_li,RET_stor_ret,INFO_info_off_li,ENGY_ptrl_hi,RET_nstor_off,SERV_home_xxx,SERV_nonp_off_inst,WHSL_whsl_ware,UTL_othr_off,TRNS_trns_ware,Total
2904.0,2.0,1.0,2.0,2.0,0.0,4.0,9.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,5.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,4.0,2.0,8.0,34.0,5.0,4.0,3.0,1.0,7.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,5.0,0.0,1.0,147.0
2905.0,29.0,18.0,10.0,7.0,1.0,46.0,40.0,10.0,1.0,4.0,19.0,3.0,4.0,3.0,26.0,10.0,4.0,35.0,0.0,13.0,3.0,5.0,4.0,9.0,2.0,55.0,3.0,37.0,2.0,0.0,36.0,13.0,17.0,22.0,5.0,13.0,12.0,28.0,47.0,0.0,25.0,1.0,13.0,5.0,26.0,2.0,2.0,5.0,4.0,34.0,18.0,4.0,9.0,744.0
2906.0,5.0,2.0,5.0,2.0,1.0,11.0,29.0,7.0,4.0,0.0,1.0,8.0,6.0,2.0,52.0,17.0,4.0,14.0,1.0,4.0,3.0,2.0,5.0,8.0,1.0,18.0,4.0,13.0,2.0,1.0,4.0,5.0,20.0,1.0,4.0,12.0,6.0,6.0,27.0,0.0,11.0,1.0,3.0,2.0,36.0,4.0,0.0,7.0,11.0,12.0,10.0,2.0,14.0,430.0
2907.0,4.0,2.0,7.0,0.0,1.0,7.0,12.0,3.0,3.0,3.0,2.0,8.0,2.0,5.0,10.0,21.0,3.0,10.0,1.0,5.0,9.0,10.0,14.0,1.0,5.0,10.0,3.0,6.0,2.0,0.0,1.0,7.0,13.0,3.0,5.0,5.0,17.0,6.0,14.0,0.0,1.0,0.0,2.0,6.0,8.0,7.0,3.0,2.0,7.0,10.0,11.0,0.0,16.0,313.0
2908.0,8.0,5.0,6.0,2.0,1.0,11.0,12.0,3.0,6.0,4.0,5.0,3.0,3.0,1.0,14.0,8.0,2.0,8.0,2.0,6.0,0.0,2.0,5.0,2.0,1.0,18.0,2.0,14.0,0.0,0.0,3.0,4.0,10.0,4.0,6.0,3.0,9.0,6.0,13.0,0.0,4.0,0.0,4.0,4.0,11.0,0.0,2.0,1.0,4.0,11.0,7.0,1.0,7.0,268.0
2909.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,42.0
2910.0,5.0,4.0,12.0,3.0,2.0,15.0,19.0,2.0,7.0,4.0,7.0,5.0,6.0,2.0,16.0,18.0,3.0,14.0,0.0,6.0,4.0,2.0,12.0,3.0,0.0,29.0,4.0,17.0,1.0,0.0,11.0,8.0,17.0,3.0,5.0,13.0,14.0,14.0,18.0,0.0,12.0,1.0,3.0,1.0,25.0,5.0,3.0,5.0,1.0,6.0,8.0,3.0,12.0,410.0
2911.0,6.0,5.0,2.0,0.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,6.0,8.0,0.0,3.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,113.0
2912.0,5.0,4.0,2.0,1.0,0.0,4.0,4.0,4.0,1.0,3.0,0.0,2.0,3.0,0.0,9.0,3.0,0.0,7.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,8.0,3.0,5.0,0.0,2.0,5.0,3.0,6.0,2.0,0.0,5.0,2.0,7.0,14.0,0.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,2.0,5.0,8.0,3.0,1.0,153.0
2913.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,42.0
