personType,tourPosition,stop,tourPurpose,stopPurpose,probability
5,1,1,4,3,0.00000
5,1,1,5,1,0.27567
5,1,1,5,2,0.17907
5,1,1,5,3,0.54526
5,1,1,6,1,0.00000
5,1,1,6,2,0.11058
5,1,1,6,3,0.88942
5,1,1,7,1,0.00000
5,1,1,7,2,0.00000
5,1,1,7,3,1.00000
5,1,2,0,1,0.00000
5,1,2,0,2,0.00000
5,1,2,0,3,0.00000
5,1,2,1,1,0.00000
5,1,2,1,2,0.00000
5,1,2,1,3,0.00000
5,1,2,2,1,0.00000
5,1,2,2,2,0.00000
5,1,2,2,3,0.00000
5,1,2,3,1,0.00000
5,1,2,3,2,0.00000
5,1,2,3,3,0.00000
5,1,2,4,1,0.00000
5,1,2,4,2,0.00000
5,1,2,4,3,0.00000
5,1,2,5,1,0.27567
5,1,2,5,2,0.17907
5,1,2,5,3,0.54526
5,1,2,6,1,0.00000
5,1,2,6,2,0.11058
5,1,2,6,3,0.88942
5,1,2,7,1,0.00000
5,1,2,7,2,0.00000
5,1,2,7,3,1.00000
5,2,1,0,1,0.00000
5,2,1,0,2,0.00000
5,2,1,0,3,0.00000
5,2,1,1,1,0.00000
5,2,1,1,2,0.00000
5,2,1,1,3,0.00000
5,2,1,2,1,0.00000
5,2,1,2,2,0.00000
5,2,1,2,3,0.00000
5,2,1,3,1,0.00000
5,2,1,3,2,0.00000
5,2,1,3,3,0.00000
5,2,1,4,1,0.00000
5,2,1,4,2,0.00000
5,2,1,4,3,0.00000
5,2,1,5,1,0.24039
5,2,1,5,2,0.26878
5,2,1,5,3,0.49083
5,2,1,6,1,0.00000
5,2,1,6,2,0.19746
5,2,1,6,3,0.80254
5,2,1,7,1,0.00000
5,2,1,7,2,0.00000
5,2,1,7,3,1.00000
5,2,2,0,1,0.00000
5,2,2,0,2,0.00000
5,2,2,0,3,0.00000
5,2,2,1,1,0.00000
5,2,2,1,2,0.00000
5,2,2,1,3,0.00000
5,2,2,2,1,0.00000
5,2,2,2,2,0.00000
5,2,2,2,3,0.00000
5,2,2,3,1,0.00000
5,2,2,3,2,0.00000
5,2,2,3,3,0.00000
5,2,2,4,1,0.00000
5,2,2,4,2,0.00000
5,2,2,4,3,0.00000
5,2,2,5,1,0.24039
5,2,2,5,2,0.26878
5,2,2,5,3,0.49083
5,2,2,6,1,0.00000
5,2,2,6,2,0.19746
5,2,2,6,3,0.80254
5,2,2,7,1,0.00000
5,2,2,7,2,0.00000
5,2,2,7,3,1.00000
