AZone,FLRType,FLRName,BldgMSQFT
1135,AgForest,FLR Logging,135974.996
1136,AgForest,FLR Logging,106837.497
1137,AgForest,FLR Logging,864412.476
1138,AgForest,FLR Logging,4594012.371
1139,AgForest,FLR Logging,378787.49
1140,AgForest,FLR Agriculture,709012.4801
1142,AgForest,FLR Logging,242812.493
1143,AgForest,FLR Logging,728437.4801
1144,AgForest,FLR Logging,233099.994
1145,AgForest,FLR Agriculture,951824.974
1146,AgForest,FLR Logging,29137.49901
1147,AgForest,FLR Logging,58274.99798
1150,AgForest,FLR Logging,19424.99899
1151,AgForest,FLR Logging,1641412.455
1152,AgForest,FLR Logging,291374.992
1154,AgForest,FLR Logging,1893937.448
1156,AgForest,FLR Logging,203962.494
1157,AgForest,FLR Logging,573037.4841
1159,AgForest,FLR Agriculture,1000387.472
1161,AgForest,FLR Agriculture,6410249.821
1162,AgForest,FLR Agriculture,573037.4841
1163,AgForest,FLR Logging,3389115.224
1163,AgForest,FLR Agriculture,15861059.25
1164,AgForest,FLR Logging,13830599.62
1165,AgForest,FLR Logging,22882649.37
1167,AgForest,FLR Agriculture,3098287.414
1168,AgForest,FLR Agriculture,5409862.352
1169,AgForest,FLR Logging,6547564.475
1169,AgForest,FLR Agriculture,20035547.29
1170,AgForest,FLR Logging,7567005.42
1170,AgForest,FLR Agriculture,39499768.29
1171,AgForest,FLR Logging,8317431.587
1171,AgForest,FLR Agriculture,37428442.14
1172,AgForest,FLR Logging,4612554.418
1172,AgForest,FLR Agriculture,20756494.88
1173,AgForest,FLR Logging,20182574.44
1174,AgForest,FLR Agriculture,33284736.58
1175,AgForest,FLR Logging,398212.489
1175,AgForest,FLR Agriculture,1068374.971
1176,AgForest,FLR Logging,5322449.851
1177,AgForest,FLR Logging,872340000
1178,AgForest,FLR Logging,59207398.34
1179,AgForest,FLR Agriculture,24086999.34
1180,AgForest,FLR Logging,19667811.97
1180,AgForest,FLR Agriculture,63004985.76
1181,AgForest,FLR Logging,57692248.42
1182,AgForest,FLR Logging,208550000
1183,AgForest,FLR Agriculture,10625474.71
1184,AgForest,FLR Logging,24737736.82
1185,AgForest,FLR Logging,17501924.51
1186,AgForest,FLR Agriculture,7536899.792
1187,AgForest,FLR Agriculture,3817012.395
1188,AgForest,FLR Logging,4302637.381
1189,AgForest,FLR Agriculture,18366336.99
1190,AgForest,FLR Agriculture,6167437.329
1191,AgForest,FLR Agriculture,18249787
1192,AgForest,FLR Agriculture,26097486.78
1192,AgForest,FLR Logging,29079224.18
1193,AgForest,FLR Agriculture,13704337.12
1194,AgForest,FLR Logging,3378589.401
1194,AgForest,FLR Agriculture,13987360.12
1195,AgForest,FLR Agriculture,2777774.923
1196,AgForest,FLR Logging,1553999.957
1199,AgForest,FLR Agriculture,582749.9842
1200,AgForest,FLR Agriculture,466199.987
1202,AgForest,FLR Logging,19424.99899
1205,AgForest,FLR Logging,456487.487
1207,AgForest,FLR Agriculture,1884224.948
1208,AgForest,FLR Logging,611887.4829
1209,AgForest,FLR Logging,1097512.47
1210,AgForest,FLR Logging,3914137.392
1211,AgForest,FLR Agriculture,22338749.39
1212,AgForest,FLR Logging,233099.994
1213,AgForest,FLR Logging,165112.495
1214,AgForest,FLR Logging,573037.4841
1215,AgForest,FLR Agriculture,12431999.66
1216,AgForest,FLR Agriculture,3603337.401
1217,AgForest,FLR Agriculture,2772224.923
1217,AgForest,FLR Logging,5133749.858
1218,AgForest,FLR Logging,4921333.626
1218,AgForest,FLR Agriculture,14173440.84
1219,AgForest,FLR Logging,4317939.151
1219,AgForest,FLR Agriculture,13990122.85
1221,AgForest,FLR Agriculture,8925787.253
1222,AgForest,FLR Logging,58274.99798
1223,AgForest,FLR Logging,7206674.799
1224,AgForest,FLR Agriculture,49456048.64
1225,AgForest,FLR Agriculture,14753287.09
1226,AgForest,FLR Logging,2010487.444
1227,AgForest,FLR Logging,2178000
1227,AgForest,FLR Agriculture,8624880
1229,AgForest,FLR Logging,7184676.954
1229,AgForest,FLR Agriculture,36210771.85
1230,AgForest,FLR Logging,5904712.18
1230,AgForest,FLR Agriculture,22319812.04
1231,AgForest,FLR Logging,495337.49
1231,AgForest,FLR Agriculture,12364012.16
1232,AgForest,FLR Agriculture,4710562.37
1234,AgForest,FLR Logging,1670549.953
1235,AgForest,FLR Logging,37043473.98
1236,AgForest,FLR Agriculture,33313874.09
1236,AgForest,FLR Logging,278010000
1237,AgForest,FLR Logging,4506599.875
1238,AgForest,FLR Agriculture,1719112.453
1238,AgForest,FLR Logging,129269999.9
1239,AgForest,FLR Agriculture,8012812.281
1239,AgForest,FLR Logging,1218100000
1240,AgForest,FLR Logging,30356636.4
1240,AgForest,FLR Agriculture,125676474.7
1241,AgForest,FLR Logging,85644822.6
1241,AgForest,FLR Agriculture,166628337.1
1242,AgForest,FLR Agriculture,1709399.953
1242,AgForest,FLR Logging,314250000
1243,AgForest,FLR Agriculture,75281585.41
1243,AgForest,FLR Logging,3183400001
1244,AgForest,FLR Agriculture,270158124.5
1244,AgForest,FLR Logging,369519999.8
1290,AgForest,FLR Agriculture,1367547680
1290,AgForest,FLR Logging,3798743557
1291,AgForest,FLR Agriculture,835125842.7
1291,AgForest,FLR Logging,1070674157
1292,AgForest,FLR Logging,768511739
1292,AgForest,FLR Agriculture,987188261
1313,AgForest,FLR Agriculture,361250000
1314,AgForest,FLR Agriculture,70881823.03
1315,AgForest,FLR Agriculture,102190000
1318,AgForest,FLR Agriculture,40646811.38
1319,AgForest,FLR Agriculture,119150000
1320,AgForest,FLR Logging,25640999.29
1322,AgForest,FLR Logging,291374.992
1324,AgForest,FLR Agriculture,105560000
1327,AgForest,FLR Agriculture,1884224.948
1328,AgForest,FLR Agriculture,179420000
1329,AgForest,FLR Agriculture,33750936.57
1330,AgForest,FLR Agriculture,1845374.949
1339,AgForest,FLR Logging,21921111.9
1352,AgForest,FLR Logging,77699.99802
1355,AgForest,FLR Agriculture,35159249.03
1358,AgForest,FLR Logging,19424.99899
1366,AgForest,FLR Logging,38849.99899
1367,AgForest,FLR Logging,66928835.67
1369,AgForest,FLR Agriculture,36169349
1370,AgForest,FLR Agriculture,70668148.03
1371,AgForest,FLR Logging,524474.9858
1372,AgForest,FLR Agriculture,6604499.817
1404,AgForest,FLR Logging,67987.498
1435,AgForest,FLR Logging,25223361.8
1443,AgForest,FLR Logging,19424.99899
1444,AgForest,FLR Logging,6361229.189
1444,AgForest,FLR Agriculture,20610382.57
1447,AgForest,FLR Logging,29137.49901
1448,AgForest,FLR Agriculture,12024074.67
1449,AgForest,FLR Agriculture,3486787.404
1451,AgForest,FLR Logging,58274.99798
1452,AgForest,FLR Logging,1621987.455
1458,AgForest,FLR Logging,796424.9781
1461,AgForest,FLR Logging,51379123.59
1462,AgForest,FLR Logging,8644124.76
1463,AgForest,FLR Logging,9265724.745
1464,AgForest,FLR Agriculture,55934285.96
1465,AgForest,FLR Logging,103410000
1466,AgForest,FLR Agriculture,114840000
1467,AgForest,FLR Logging,18444036.99
1468,AgForest,FLR Logging,59527910.86
1469,AgForest,FLR Agriculture,29108361.7
1470,AgForest,FLR Agriculture,442030000.1
1471,AgForest,FLR Agriculture,254090000
1472,AgForest,FLR Agriculture,233500000
1473,AgForest,FLR Logging,9712.500019
1537,AgForest,FLR Logging,359362.49
1538,AgForest,FLR Logging,8712000
1538,AgForest,FLR Agriculture,50573160
1539,AgForest,FLR Logging,104270000
1540,AgForest,FLR Logging,309325.35
1540,AgForest,FLR Agriculture,95435022.39
1542,AgForest,FLR Logging,9547387.237
1546,AgForest,FLR Logging,213674.994
1549,AgForest,FLR Logging,50048511.12
1552,AgForest,FLR Logging,31763.58461
1553,AgForest,FLR Logging,98822.64412
1554,AgForest,FLR Logging,145687.496
1555,AgForest,FLR Logging,16210949.83
1556,AgForest,FLR Logging,20046599.45
1557,AgForest,FLR Logging,369074.99
1558,AgForest,FLR Logging,9712.500019
1565,AgForest,FLR Logging,4356000
1565,AgForest,FLR Agriculture,19602000
1566,AgForest,FLR Logging,3281175.069
1572,AgForest,FLR Agriculture,13150724.64
1576,AgForest,FLR Logging,15743962.07
1577,AgForest,FLR Logging,456487.487
1578,AgForest,FLR Logging,6808462.312
1580,AgForest,FLR Logging,155399.996
1581,AgForest,FLR Agriculture,20852736.92
1588,AgForest,FLR Agriculture,1385977.218
1588,AgForest,FLR Logging,12833122.39
1593,AgForest,FLR Logging,4582.597857
1595,AgForest,FLR Logging,3677267.12
1595,AgForest,FLR Agriculture,89733785
1597,AgForest,FLR Logging,630161.2
1597,AgForest,FLR Agriculture,133480000
1610,AgForest,FLR Logging,9712.500019
1613,AgForest,FLR Logging,15530287.07
1623,AgForest,FLR Logging,5815384.577
1625,AgForest,FLR Logging,16209836.43
1630,AgForest,FLR Agriculture,45546160.58
1631,AgForest,FLR Logging,120354982.4
1638,AgForest,FLR Agriculture,218001417.5
1639,AgForest,FLR Agriculture,12892380.44
1640,AgForest,FLR Logging,116549.997
1649,AgForest,FLR Logging,41147638.28
1650,AgForest,FLR Agriculture,35479761.52
1651,AgForest,FLR Agriculture,68094335.61
